Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,SMILES,Fu_median,N_fu,Fu_values,Fu_flag,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final,pKa_exp,N_pka,pKa_values,LogD74_exp,N_logd,LogD_values,pKa_acid_pred,pKa_base_pred,LogD74_pred,Type,LogP_opera,LogP_chembl,LogP_diff,pKa_diff,LogD74_diff,MW_rdkit,PSA_rdkit,HBD_rdkit,HBA_rdkit,LogP_rdkit,MW_chembl,PSA_chembl,MW_diff_rdkit,PSA_diff_rdkit,HBD_diff_rdkit,HBA_diff_rdkit,LogP_diff_rdkit,LogD74_calc_exp,pKa_opera_relevant,LogD74_calc_opera,pKa_pkasolver,N_pka_pkasolver,Type_pkasolver
THEOPHYLLINE,CHEMBL1355736,198.18,72.68,1,5,-1.04,Cn1c(=O)c2nc[nH]c2n(C)c1=O.O,0.61,3,"0.46, 0.61, 0.989",NA,NA,NA,NA,ChEMBL_Fu,0.61,6.7,4,"8.8, 0, 4.6, 8.8",-0.02,3,"-0.02, -5, -0.02",NA,3.19,-0.02,BASE,-0.02,-1.04,1.02,NA,0,198.18199999999996,104.18,1,3,-1.8643999999999998,198.18,72.68,0.0019999999999527063,31.5,0,2,0.8243999999999998,-1.1190097496525666,3.19,-1.0400267775551508,"4.044, 5.608, 8.83",3,"BASE, BASE, ACID"
THIOPENTAL,CHEMBL441,242.34,58.20,2,3,1.35,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,0.14,1,0.14,NA,NA,NA,NA,ChEMBL_Fu,0.14,4.199999999999999,2,"0.8, 7.6",NA,0,NA,5.69,NA,1.13,ACID,2.85,1.35,1.5,1.490000000000001,NA,242.34400000000002,58.2,2,3,1.3498999999999999,242.34,58.2,0.004000000000019099,0,0,0,1.0000000000021103e-4,-1.8502739348814976,5.69,-0.36838656812770454,"7.691, 8.148",2,"ACID, ACID"
TINIDAZOLE,CHEMBL1220,247.28,95.10,0,6,0.53,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,0.8,1,0.8,NA,NA,NA,NA,ChEMBL_Fu,0.8,NA,0,NA,NA,0,NA,NA,3.09,-0.35,BASE,-0.35,0.53,0.88,NA,NA,247.27599999999998,95.1,0,5,0.5344200000000001,247.28,95.1,0.004000000000019099,0,0,1,0.0044200000000000905,NA,3.09,0.5299787296970225,3.467,1,BASE
VALPROIC ACID,CHEMBL109,144.21,37.30,1,1,2.29,CCCC(CCC)C(=O)O,0.068,2,"0.084, 0.052",NA,NA,NA,NA,ChEMBL_Fu,0.068,4.8,1,4.8,NA,0,NA,5.25,NA,0.6,ACID,2.75,2.29,0.45999999999999996,0.4500000000000002,NA,144.214,37.3,1,1,2.2874,144.21,37.3,0.003999999999990678,0,0,0,0.0026000000000001577,-0.3110895305999617,5.25,0.13693626257274083,4.837,1,ACID
ZONISAMIDE,CHEMBL750,212.23,86.19,1,4,0.62,NS(=O)(=O)Cc1noc2ccccc12,0.308,1,0.308,NA,NA,NA,NA,ChEMBL_Fu,0.308,NA,0,NA,NA,0,NA,7.61,NA,0.27,ACID,0.48,0.62,0.14,NA,NA,212.23000000000002,86.19000000000001,1,4,0.6163,212.23,86.19,2.842170943040401e-14,1.4210854715202004e-14,0,0,0.0037000000000000366,NA,7.61,0.4113987682736633,"2.56, 6.098, 8.089",3,"BASE, BASE, ACID"
ALPRAZOLAM,CHEMBL661,308.77,43.07,0,4,3.58,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0.29,3,"0.29, 0.29, 0.29",NA,NA,NA,NA,ChEMBL_Fu,0.29,2.4,3,"6.2, 2.4, 2.4",2.12,1,2.12,NA,4.83,2.12,BASE,2.12,3.58,1.46,NA,0,308.77200000000005,43.07,0,3,3.5801200000000017,308.77,43.07,0.002000000000066393,0,0,1,1.2000000000167432e-4,3.5799956570768954,4.83,3.5788326515625006,"3.366, 4.153",2,"BASE, BASE"
AMITRIPTYLINE,CHEMBL629,277.41,3.24,0,1,4.17,CN(C)CCC=C1c2ccccc2CCc2ccccc21,0.065,2,"0.06, 0.07",NA,NA,NA,NA,ChEMBL_Fu,0.065,9.4,11,"9.4, 9.42, 9.4, 9.4, 9.4, 9.49, 9.4, 8.2, 9.4, 9.5, 9.4",2.84,6,"2.62, 2.499, 2.83, 9.4, 2.85, 3",NA,9.91,2.41,BASE,4.92,4.17,0.75,NA,0.4299999999999997,277.411,3.24,0,1,4.168600000000003,277.41,3.24,9.999999999763531e-4,0,0,0,0.0013999999999967372,2.1656786262173573,9.91,1.658659971223825,9.494,1,BASE
AMLODIPINE,CHEMBL1491,408.88,99.88,2,7,2.27,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,0.005,1,0.005,NA,NA,NA,NA,ChEMBL_Fu,0.005,9.145,6,"9.5, 9.03, 8.6, 8.6, 9.26, 9.45",1.66,1,1.66,NA,8.37,1.82,BASE,2.83,2.27,0.56,NA,0.16000000000000014,408.88200000000006,99.88000000000001,2,7,2.266300000000001,408.88,99.88,0.002000000000066393,1.4210854715202004e-14,0,0,0.0036999999999989264,0.5172570388759652,8.37,1.2557927783438467,"5.231, 6.789",2,"BASE, BASE"
AMOXAPINE,CHEMBL1113,313.79,36.86,1,4,3.43,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,NA,0,NA,NA,89.05,0.10950000000000004,1,ChEMBL_PPB,0.10950000000000004,8.705,6,"7.6, 3.38, 8.71, 8.7, 8.71, 11.16",2.94,2,"3.48, 2.4",NA,12.5,-1.5,BASE,3.6,3.43,0.16999999999999993,NA,4.4399999999999995,313.788,36.86,1,4,3.4292000000000025,313.79,36.86,0.0020000000000095497,0,0,0,7.999999999976914e-4,2.103998928097393,12.5,-1.67000344970999,"7.592, 9.886",2,"BASE, BASE"
BUPIVACAINE,CHEMBL1098,288.44,32.34,1,2,3.90,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,0.14400000000000002,2,"0.056, 0.232",NA,NA,NA,NA,ChEMBL_Fu,0.14400000000000002,8.129999999999999,2,"8.16, 8.1",NA,0,NA,NA,7.13,3.22,BASE,3.41,3.9,0.48999999999999977,NA,NA,288.43500000000006,32.34,1,2,3.8965400000000026,288.44,32.34,0.004999999999938609,0,0,0,0.003459999999997354,3.09583889004532,7.13,3.7133171482157317,"5.629, 8.016, 10.075",3,"BASE, BASE, ACID"
BUPRENORPHINE,CHEMBL511142,467.65,62.16,2,5,4.41,CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,0.04,1,0.04,NA,NA,NA,NA,ChEMBL_Fu,0.04,8.965,2,"9.62, 8.31",3.93,1,3.93,NA,NA,NA,NEUTRAL,NA,4.41,NA,NA,NA,467.6500000000003,62.16,2,5,4.413800000000004,467.65,62.16,3.410605131648481e-13,0,0,0,0.0038000000000035783,4.41,NA,4.41,"8.643, 9.459, 10.018",3,"BASE, ACID, ACID"
BUPROPION,CHEMBL894,239.75,29.10,1,2,3.30,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,0.195,1,0.195,NA,NA,NA,NA,ChEMBL_Fu,0.195,8.35,3,"8.2, 8.35, 8.6",NA,0,NA,NA,6.66,1.76,BASE,1.83,3.3,1.4699999999999998,NA,NA,239.746,29.1,1,2,3.2993000000000023,239.75,29.1,0.003999999999990678,0,0,0,6.999999999974804e-4,2.303816388651777,6.66,3.227393514749093,8.376,1,BASE
CAFFEINE,CHEMBL113,194.19,61.82,0,6,-1.03,Cn1c(=O)c2c(ncn2C)n(C)c1=O,0.64,4,"0.64, 0.64, 0.64, 0.989",NA,NA,NA,NA,ChEMBL_Fu,0.64,0.6,3,"0.6, 0, 3.6",-0.1,6,"-0.07, -0.14, -0.13, 0.02, -0.3, 0",NA,2.43,-0.07,BASE,-0.07,-1.03,0.96,NA,0.03,194.194,61.82,0,3,-1.0293,194.19,61.82,0.003999999999990678,0,0,3,6.999999999999229e-4,-1.0300000688310313,2.43,-1.0300046535242835,3.649,1,BASE
CHLORAMPHENICOL,CHEMBL130,323.13,112.70,3,5,0.91,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0.47,3,"0.47, 0.47, 0.34",NA,NA,NA,NA,ChEMBL_Fu,0.47,0.645,2,"1.29, 0",1.045,4,"1, 1.14, 1.04, 1.05",9.39,NA,1.14,ACID,1.14,0.91,0.22999999999999987,8.745000000000001,0.09499999999999997,323.13199999999995,112.70000000000002,3,5,0.9089999999999998,323.13,112.7,0.0019999999999527063,1.4210854715202004e-14,0,0,0.001000000000000223,-5.845000076345647,9.39,0.9055784791708508,"5.475, 8.027, 8.712, 9.126",4,"BASE, ACID, ACID, ACID"
CHLORPROMAZINE,CHEMBL71,318.87,6.48,0,3,4.89,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,0.03,6,"0.03, 0.03, 0.056, 0.003, 0.0013, 0.302",NA,NA,NA,NA,ChEMBL_Fu,0.03,9.25,19,"9.24, 9.25, 9.3, 9.2, 9.22, 9.41, 9.3, 9.22, 9.54, 9.3, 9.24, 9.25, 9.2, 9.22, 9.36, 9.19, 9.3, 9.22, 9.3",3.23,7,"3.167, 3.221, 9.36, 3.38, 3.7, 3.23, 3.18",NA,4.54,5.41,BASE,5.41,4.89,0.5200000000000005,NA,2.18,318.8730000000001,6.48,0,3,4.894400000000004,318.87,6.48,0.0030000000000995897,0,0,0,0.004400000000003956,3.033908350230958,4.54,4.889400920116137,"4.667, 9.257",2,"BASE, BASE"
CLEMASTINE,CHEMBL1626,343.90,12.47,0,2,5.10,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,NA,0,NA,NA,NA,NA,0,NA,NA,9.2,1,9.2,NA,0,NA,NA,10.03,1.47,BASE,4.1,5.1,1,NA,NA,343.898,12.47,0,2,5.104400000000005,343.9,12.47,0.0019999999999527063,0,0,0,0.004400000000005733,3.293170871687548,10.03,2.4689831058123746,9.146,1,BASE
CLINDAMYCIN,CHEMBL1753,424.99,102.26,4,7,0.39,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,0.08,2,"0.06, 0.1",NA,NA,NA,NA,ChEMBL_Fu,0.08,NA,0,NA,NA,0,NA,NA,6.58,2.1,BASE,2.16,0.39,1.77,NA,NA,424.9910000000001,102.26,4,7,0.3895000000000004,424.99,102.26,0.00100000000009004,0,0,0,4.999999999996119e-4,NA,6.58,0.32879032438702227,"5.377, 7.217, 8.043, 8.149, 8.231, 8.704",6,"BASE, BASE, ACID, ACID, ACID, ACID"
CLOMIPRAMINE,CHEMBL415,314.86,6.48,0,2,4.53,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0.0345,4,"0.04, 0.029, 0.004, 0.186",NA,NA,NA,NA,ChEMBL_Fu,0.0345,9.38,8,"9.38, 9.38, 9.2, 9.38, 9.38, 9.1, 9.38, 9.4",3.2800000000000002,2,"3.32, 3.24",NA,7.42,4.88,BASE,5.19,4.53,0.6600000000000001,NA,1.5999999999999996,314.86,6.48,0,2,4.528400000000004,314.86,6.48,0,0,0,0,0.001599999999996271,2.545476023301128,7.42,4.218854885253324,"5.462, 8.767",2,"BASE, BASE"
CLONAZEPAM,CHEMBL452,315.72,84.60,1,4,3.04,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,0.15,1,0.15,NA,NA,NA,NA,ChEMBL_Fu,0.15,NA,0,NA,NA,0,NA,8.75,NA,2.39,ACID,2.41,3.04,0.6299999999999999,NA,NA,315.716,84.6,1,4,3.037700000000001,315.72,84.6,0.004000000000019099,0,0,0,0.0022999999999990806,NA,8.75,3.0210215589522655,"5.923, 9.462",2,"BASE, ACID"
