Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,SMILES,Fu_median,N_fu,Fu_values,Fu_flag,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final,pKa_exp,N_pka,pKa_values,LogD74_exp,N_logd,LogD_values,pKa_acid_pred,pKa_base_pred,LogD74_pred,Type,LogP_opera,LogP_chembl,LogP_diff,pKa_diff,LogD74_diff,MW_rdkit,PSA_rdkit,HBD_rdkit,HBA_rdkit,LogP_rdkit,MW_chembl,PSA_chembl,MW_diff_rdkit,PSA_diff_rdkit,HBD_diff_rdkit,HBA_diff_rdkit,LogP_diff_rdkit,LogD74_calc_exp,pKa_opera_relevant,LogD74_calc_opera,pKa_pkasolver,N_pka_pkasolver,Type_pkasolver
IMIPRAMINE,CHEMBL11,280.42,6.48,0,2,3.88,CN(C)CCCN1c2ccccc2CCc2ccccc21,0.13849999999999998,8,"0.1, 0.1, 0.075, 0.105, 0.172, 0.181, 0.22, 0.472",NA,NA,NA,NA,ChEMBL_Fu,0.13849999999999998,9.5,15,"9.51, 9.45, 9.5, 9.5, 3.52, 9.5, 9.45, 2.1, 9.51, 9.45, 9.4, 10.2, 9.5, 9.5, 9",2.455,10,"2.52, 2.31, 2.4, 2.49, 2.581, 2.49, 1.33, 1.43, 2.52, 2.42",NA,7.89,4.19,BASE,4.8,3.88,0.9199999999999999,NA,1.7350000000000003,280.415,6.48,0,2,3.8750000000000027,280.42,6.48,0.0049999999999954525,0,0,0,0.004999999999997229,1.7765639052482718,7.89,3.2682453227807415,"5.813, 9.018",2,"BASE, BASE"
ISONIAZID,CHEMBL64,137.14,68.01,2,3,-0.31,NNC(=O)c1ccncc1,1,1,1,FLAG: contains 0 or 1,NA,NA,NA,ChEMBL_Fu,1,0.925,2,"1.8, 0.05",NA,0,NA,11.19,5.67,-1.77,AMPHOLYTE,-0.7,-0.31,0.38999999999999996,10.264999999999999,NA,137.142,68.00999999999999,2,3,-0.3149000000000006,137.14,68.01,0.0020000000000095497,1.4210854715202004e-14,0,0,0.004900000000000626,NA,NA,NA,"3.853, 8.519",2,"BASE, ACID"
LEVODOPA,CHEMBL1009,197.19,103.78,4,4,0.05,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,0.76,1,0.76,NA,NA,NA,NA,ChEMBL_Fu,0.76,7.470000000000001,2,"12.73, 2.21",-1.22,1,-1.22,4.03,NA,-5.76,ACID,-2.39,0.05,2.44,3.4400000000000004,4.54,197.18999999999997,103.78000000000002,4,4,0.052200000000000135,197.19,103.78,2.842170943040401e-14,1.4210854715202004e-14,0,0,0.0022000000000001324,-0.217438805027534,4.03,-3.3201852216280403,"5.557, 9.214",2,"ACID, BASE"
MAPROTILINE,CHEMBL21731,277.41,12.03,1,1,4.21,CNCCCC12CCC(c3ccccc31)c1ccccc12,0.11499999999999999,2,"0.12, 0.11",NA,NA,NA,NA,ChEMBL_Fu,0.11499999999999999,10.5,5,"10.5, 10.5, 10.5, 10.6, 10.5",2.01,2,"1.12, 2.9",NA,10.14,1.5,BASE,4.24,4.21,0.03000000000000025,NA,0.5099999999999998,277.41100000000006,12.03,1,1,4.211400000000004,277.41,12.03,0.0010000000000331966,0,0,0,0.0014000000000038426,1.109655164568975,10.14,1.4692104321293793,10.529,1,BASE
METHADONE,CHEMBL651,309.45,20.31,0,2,4.29,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,0.16,2,"0.11, 0.21",NA,NA,NA,NA,ChEMBL_Fu,0.16,8.775,2,"8.25, 9.3",NA,0,NA,NA,NA,NA,NEUTRAL,NA,4.29,NA,NA,NA,309.45300000000003,20.310000000000002,0,2,4.292000000000004,309.45,20.31,0.0030000000000427463,3.552713678800501e-15,0,0,0.0020000000000042206,4.29,NA,4.29,8.886,1,BASE
METHYLPHENIDATE,CHEMBL796,233.31,38.33,1,3,2.09,COC(=O)C(c1ccccc1)C1CCCCN1,0.85,1,0.85,NA,NA,NA,NA,ChEMBL_Fu,0.85,9.24,2,"9.24, 9.24",0.125,2,"-0.15, 0.4",NA,10.54,-2.93,BASE,0.21,2.09,1.88,NA,3.055,233.31099999999995,38.33,1,3,2.0852999999999997,233.31,38.33,9.999999999479314e-4,0,0,0,0.0047000000000001485,0.24376747082791894,10.54,-1.0503145046344682,9.279,1,BASE
METOPROLOL,CHEMBL13,267.37,50.72,2,4,1.61,COCCc1ccc(OCC(O)CNC(C)C)cc1,0.89,4,"0.89, 0.89, 0.88, 0.974",NA,NA,NA,NA,ChEMBL_Fu,0.89,9.7,17,"9.6, 9.7, 9.7, 9.7, 9.7, 9.18, 6.55, 9.63, 9.7, 9.18, 2.45, 9.56, 9.7, 9.7, 13.74, 9.7, 9.17",-0.16,7,"0.07, -0.16, -0.24, 0.07, -0.37, 0.05, -0.28",NA,10.43,-1.15,BASE,1.88,1.61,0.2699999999999998,NA,0.9899999999999999,267.36899999999997,50.72,2,4,1.6132,267.37,50.72,0.0010000000000331966,0,0,0,0.0031999999999998696,-0.692171192164144,10.43,-1.4204051181832942,9.601,1,BASE
METRONIDAZOLE,CHEMBL137,171.16,81.19,1,5,0.09,Cc1ncc([N+](=O)[O-])n1CCO,0.89,3,"0.89, 0.89, 0.96",NA,NA,NA,NA,ChEMBL_Fu,0.89,0,1,0,-0.02,2,"-0.02, -0.02",NA,3.33,-0.02,BASE,-0.02,0.09,0.11,NA,0,171.15599999999998,81.19,1,4,0.09201999999999994,171.16,81.19,0.004000000000019099,0,0,1,0.0020199999999999385,0.089999982710425655,3.33,0.08996303711767051,"4.049, 7.258",2,"BASE, ACID"
MIANSERIN,CHEMBL6437,264.37,6.48,0,2,3.08,CN1CCN2c3ccccc3Cc3ccccc3C2C1,0.839,1,0.839,NA,NA,NA,NA,ChEMBL_Fu,0.839,7.1,3,"7.1, 7.1, 8.4",4.08,1,4.08,NA,8.02,3.53,BASE,4.24,3.08,1.1600000000000001,NA,0.5500000000000003,264.372,6.48,0,2,3.0839000000000016,264.37,6.48,0.0020000000000095497,0,0,0,0.003900000000001569,2.9035651375635148,8.02,2.366619192312266,"6.586, 7.47",2,"BASE, BASE"
MINOXIDIL,CHEMBL802,209.25,95.11,2,5,-0.13,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],NA,0,NA,NA,NA,NA,0,NA,NA,4.6,1,4.6,NA,0,NA,NA,5.59,1.23,BASE,1.24,-0.13,1.37,NA,NA,209.25300000000001,95.11,2,5,-0.13029999999999975,209.25,95.11,0.0030000000000143245,0,0,0,2.999999999997449e-4,-0.13068776549431868,5.59,-0.1366748667967506,"3.709, 4.305, 5.015, 5.117, 9.772, 10.17",6,"BASE, BASE, ACID, BASE, ACID, ACID"
MORPHINE,CHEMBL70,285.34,52.93,2,4,1.20,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,0.65,3,"0.65, 0.61, 0.65",NA,NA,NA,NA,ChEMBL_Fu,0.65,8.18,15,"8.18, 8.18, 9.26, 9.26, 9.46, 8.18, 8.17, 8.13, 9.6, 7.93, 8.18, 8.18, 8.18, 8.3, 7.93",-0.07500000000000001,4,"-0.07, -0.02, -0.08, -0.44",NA,8.06,0.14,BASE,0.89,1.2,0.30999999999999994,NA,0.21500000000000002,285.343,52.93000000000001,2,4,1.1981,285.34,52.93,0.0030000000000427463,7.105427357601002e-15,0,0,0.0019000000000000128,0.3533168361120338,8.06,0.45407604857602357,"7.797, 8.177, 8.618",3,"BASE, ACID, ACID"
NALTREXONE,CHEMBL19019,341.41,70.00,2,5,1.53,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,0.79,1,0.79,NA,NA,NA,NA,ChEMBL_Fu,0.79,8.1,1,8.1,NA,0,NA,NA,6.87,1.81,BASE,1.92,1.53,0.3899999999999999,NA,NA,341.4070000000001,70,2,5,1.5253999999999999,341.41,70,0.0029999999999290594,0,0,0,0.0046000000000001595,0.750990250347434,6.87,1.4176896805440218,"8.497, 9.005, 9.103",3,"BASE, ACID, ACID"
NICOTINE,CHEMBL3,162.24,16.13,0,2,1.85,CN1CCC[C@H]1c1cccnc1,0.95,3,"0.95, 0.95, 0.95",NA,NA,NA,NA,ChEMBL_Fu,0.95,8.08,9,"8.1, 8.1, 8, 8.08, 3.4, 7.66, 7.9, 8.11, 8.1",0.4,1,0.4,NA,NA,NA,NEUTRAL,NA,1.85,NA,NA,NA,162.236,16.130000000000003,0,2,1.8483,162.24,16.13,0.004000000000019099,3.552713678800501e-15,0,0,0.0017000000000000348,1.85,NA,1.85,"4.932, 8.293",2,"BASE, BASE"
NORTRIPTYLINE,CHEMBL445,263.38,12.03,1,1,3.83,CNCCC=C1c2ccccc2CCc2ccccc21,0.12,3,"0.12, 0.12, 0.006",NA,NA,NA,NA,ChEMBL_Fu,0.12,10.1,9,"10.1, 9.7, 9.7, 10.41, 10.1, 10.41, 10.13, 10.1, 13.9",2.23,5,"2.02, 1.98, 9.73, 2.23, 2.8",NA,10.71,1.2,BASE,4.51,3.83,0.6799999999999997,NA,1.03,263.38399999999996,12.03,1,1,3.826400000000003,263.38,12.03,0.003999999999962256,0,0,0,0.003599999999996939,1.1291343319172071,10.71,0.5197873438343876,9.794,1,BASE
PAROXETINE,CHEMBL490,329.37,39.72,1,4,3.33,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,0.074,7,"0.05, 0.06, 0.005, 0.074, 0.089, 0.099, 0.136",NA,NA,NA,NA,ChEMBL_Fu,0.074,9.805,8,"9.51, 11.2, 10.1, 9.51, 10.1, 9.51, 9.5, 10.34",2.285,2,"2.27, 2.3",NA,NA,NA,NEUTRAL,NA,3.33,NA,NA,NA,329.3710000000001,39.72,1,4,3.326500000000002,329.37,39.72,0.00100000000009004,0,0,0,0.0034999999999980602,3.33,NA,3.33,9.788,1,BASE
PEFLOXACIN,CHEMBL267648,333.36,65.78,1,5,1.61,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,0.75,1,0.75,NA,NA,NA,NA,ChEMBL_Fu,0.75,NA,0,NA,0.37,1,0.37,-1.71,7.17,0.07,AMPHOLYTE,0.27,1.61,1.34,NA,0.3,333.36300000000006,65.78,1,4,1.6105000000000003,333.36,65.78,0.0030000000000427463,0,0,1,5.00000000000167e-4,NA,NA,NA,"5.194, 6.607, 6.86",3,"BASE, ACID, BASE"
PREDNISOLONE,CHEMBL131,360.45,94.83,3,5,1.56,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,0.25,5,"0.075, 0.075, 0.25, 0.98, 0.41",NA,NA,NA,NA,ChEMBL_Fu,0.25,0,1,0,1.6,1,1.6,8.59,NA,1.59,ACID,1.62,1.56,0.06000000000000005,8.59,0.010000000000000009,360.4500000000002,94.83,3,5,1.5575999999999999,360.45,94.83,2.2737367544323206e-13,0,0,0,0.0024000000000001798,-5.840000017289574,8.59,1.5328276438236932,"6.694, 7.029, 8.285",3,"ACID, ACID, ACID"
PROPRANOLOL,CHEMBL27,259.35,41.49,2,3,2.58,CC(C)NCC(O)COc1cccc2ccccc12,0.216,11,"0.13, 0.1, 0.13, 0.216, 0.213, 0.231, 0.315, 0.15, 0.915, 0.421, 0.244",NA,NA,NA,NA,ChEMBL_Fu,0.216,9.475,24,"9.45, 9.45, 9.5, 9.5, 9.15, 6.49, 9.68, 9.53, 9.64, 9.45, 9.17, 2.3, 9.53, 9.45, 9.6, 9.6, 10.17, 9.5, 9.45, 9.56, 9.51, 9.43, 9.35, 7.5",1.26,15,"1.54, 1.18, 1.26, 1.25, 1.33, 0.69, 0.72, 1.4, 1.54, 1.62, 1.38, 1.26, 0.2, 1.26, 1.2",NA,8.86,2.01,BASE,3.48,2.58,0.8999999999999999,NA,0.7499999999999998,259.34900000000005,41.489999999999995,2,3,2.5775000000000006,259.35,41.49,9.999999999763531e-4,7.105427357601002e-15,0,0,0.0024999999999995026,0.5013611544858083,8.86,1.105196596225567,9.543,1,BASE
QUININE,CHEMBL170,324.42,45.59,1,4,3.17,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,0.3,1,0.3,NA,NA,NA,NA,ChEMBL_Fu,0.3,8.56,9,"8.8, 9.13, 8.5, 8.8, 8.55, 8.56, 1.6, 3.1, 8.8",NA,0,NA,NA,8.25,2.53,BASE,3.44,3.17,0.27,NA,NA,324.4240000000001,45.59,1,4,3.1732000000000014,324.42,45.59,0.004000000000075943,0,0,0,0.003200000000001424,1.9809479157008956,8.25,2.2626177807263708,"6.88, 9.417, 10.594",3,"BASE, BASE, ACID"
RISPERIDONE,CHEMBL85,410.49,64.16,0,6,3.59,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,0.1745,8,"0.11, 0.11, 0.1, 0.163, 0.222, 0.186, 0.276, 0.932",NA,NA,NA,NA,ChEMBL_Fu,0.1745,8.3,11,"7.91, 8.3, 8.7, 3.16, 3.16, 8.63, 8.3, 8.3, 8.3, 13, 8.2",1.71,3,"2.04, 1.66, 1.71",NA,7.61,3.56,BASE,3.98,3.59,0.3900000000000001,NA,1.85,410.4930000000003,64.16,0,5,3.5904200000000026,410.49,64.16,0.00300000000027012,0,0,1,4.200000000027515e-4,2.6385030579747695,7.61,3.1713987682736633,"4.504, 6.14, 7.873",3,"BASE, BASE, BASE"
SUMATRIPTAN,CHEMBL128,295.41,65.20,2,3,1.32,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,0.82,4,"0.82, 0.82, 0.83, 0.68",NA,NA,NA,NA,ChEMBL_Fu,0.82,9.5,6,"9.5, 9.5, 9.4, 9.68, 9.5, 8.7",-1.17,6,"-1.17, -1.17, -1.17, -1, 0, -1.7",10.22,NA,0.93,ACID,0.93,1.32,0.39,0.7200000000000006,2.1,295.408,65.2,2,3,1.3211999999999997,295.41,65.2,0.0020000000000095497,0,0,0,0.0011999999999996458,1.3165639052482716,10.22,1.319343165655988,"6.868, 7.935, 8.289, 8.793, 10.176",5,"BASE, BASE, BASE, ACID, ACID"
TEMAZEPAM,CHEMBL967,300.75,52.90,1,3,2.47,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,4.19,2.19,BASE,2.19,2.47,0.28000000000000025,NA,NA,300.74500000000006,52.900000000000006,1,3,2.4722,300.75,52.9,0.004999999999938609,7.105427357601002e-15,0,0,0.0021999999999997577,NA,4.19,2.4697322987162806,"2.84, 10.291",2,"BASE, ACID"
TIMOLOL,CHEMBL499,316.43,79.74,2,8,0.50,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,0.9,3,"0.9, 0.9, 0.988",NA,NA,NA,NA,ChEMBL_Fu,0.9,8.8,7,"8.8, 9.3, 9.53, 8.8, 9.53, 8.8, 3.9",NA,0,NA,NA,9.6,-0.37,BASE,1.83,0.5,1.33,NA,NA,316.4270000000002,79.74,2,8,0.5024999999999997,316.43,79.74,0.0029999999998153726,0,0,0,0.0024999999999997247,-0.9169542892795335,9.6,-1.702731604334938,"4.46, 4.685, 9.199",3,"BASE, BASE, BASE"
TRIPROLIDINE,CHEMBL855,278.40,16.13,0,2,3.92,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,NA,0,NA,NA,35.46,0.6454,1,ChEMBL_PPB,0.6454,9.69,3,"9.69, 9.25, 9.69",NA,0,NA,NA,8.15,3.1,BASE,3.92,3.92,0,NA,NA,278.399,16.130000000000003,0,2,3.9175200000000032,278.4,16.13,9.999999999763531e-4,3.552713678800501e-15,0,0,0.002479999999996707,1.6277783634104575,8.15,3.0989181473504677,"5.906, 8.981",2,"BASE, BASE"
VENLAFAXINE,CHEMBL637,277.41,32.70,1,3,3.04,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,0.73,2,"0.73, 0.73",NA,NA,NA,NA,ChEMBL_Fu,0.73,9.6,8,"9.5, 9.2, 9.9, 9.9, 9.5, 9.7, 9.5, 10",0.88,3,"0.88, 1, 0.88",NA,9.4,1.13,BASE,3.13,3.04,0.08999999999999986,NA,0.2499999999999999,277.4079999999999,32.7,1,3,3.0356000000000014,277.41,32.7,0.0020000000001232365,0,0,0,0.004399999999998627,0.837268395665062,9.4,1.0356786262173574,"9.412, 9.559",2,"BASE, ACID"
VERAPAMIL,CHEMBL6966,454.61,63.95,0,6,5.09,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,0.14550000000000002,8,"0.1, 0.093, 0.137, 0.154, 0.16, 0.233, 0.79, 0.01",NA,NA,NA,NA,ChEMBL_Fu,0.14550000000000002,8.92,18,"9.2, 8.92, 8.29, 8.9, 9.04, 8.92, 8.68, 4.18, 8.92, 8.92, 8.92, 8.76, 1.36, 9.07, 8.92, 8.9, 8.7, 9",2.5949999999999998,4,"1.91, 3.4, 2.52, 2.67",NA,8.43,2.72,BASE,3.79,5.09,1.2999999999999998,NA,0.12500000000000044,454.6110000000002,63.95,0,6,5.093080000000005,454.61,63.95,0.0010000000002037268,0,0,0,0.0030800000000050787,3.5570786579845404,8.43,4.021250550354186,8.92,1,BASE
ZIDOVUDINE,CHEMBL129,267.24,133.08,2,6,-0.20,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,0.77,3,"0.77, 0.8, 0.695",NA,NA,NA,NA,ChEMBL_Fu,0.77,NA,0,NA,NA,0,NA,6.88,NA,-0.58,ACID,0.05,-0.2,0.25,NA,NA,267.245,133.07999999999998,2,5,-0.19628000000000012,267.24,133.08,0.0049999999999954525,2.842170943040401e-14,0,1,0.00371999999999989,NA,6.88,-0.8346093738172835,"5.81, 8.047, 8.793, 10.025",4,"BASE, ACID, ACID, ACID"
ZOLPIDEM,CHEMBL911,307.40,37.61,0,3,3.25,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,0.08,1,0.08,NA,NA,NA,NA,ChEMBL_Fu,0.08,6.02,2,"6.02, 6.02",2.325,2,"2.35, 2.3",NA,5.12,3.45,BASE,3.45,3.25,0.20000000000000018,NA,1.125,307.39700000000005,37.61000000000001,0,2,3.2488400000000013,307.4,37.61,0.0029999999999290594,7.105427357601002e-15,0,1,0.0011599999999987176,3.232262781398041,5.12,3.2477267500482907,"4.38, 6.381",2,"BASE, BASE"
ABACAVIR,CHEMBL1380,286.34,101.88,3,7,1.09,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,0.5,1,0.5,NA,NA,NA,NA,ChEMBL_Fu,0.5,NA,0,NA,NA,0,NA,NA,5.31,1.22,BASE,1.22,1.09,0.1299999999999999,NA,NA,286.33900000000006,101.88,3,6,1.0922999999999998,286.34,101.88,9.999999999195097e-4,0,0,1,0.0022999999999997467,NA,5.31,1.0864841914245733,"3.932, 3.94, 4.504, 5.71, 9.063, 9.508",6,"BASE, BASE, BASE, BASE, ACID, ACID"
APIXABAN,CHEMBL231779,459.51,110.76,1,6,2.70,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,0.07,1,0.07,NA,NA,NA,NA,ChEMBL_Fu,0.07,8.56,1,8.56,NA,0,NA,8.66,NA,2.49,ACID,2.51,2.7,0.1900000000000004,0.09999999999999964,NA,459.5060000000003,110.75999999999999,1,5,2.699600000000001,459.51,110.76,0.003999999999678039,1.4210854715202004e-14,0,1,3.9999999999906777e-4,2.670947915700896,8.66,2.6767664408676177,"2.852, 3.671, 4.594, 6.964, 9.325",5,"BASE, BASE, BASE, BASE, ACID"
BUDESONIDE,CHEMBL1370,430.54,93.06,2,6,2.72,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0.13,1,0.13,NA,NA,NA,NA,ChEMBL_Fu,0.13,NA,0,NA,NA,0,NA,7.64,NA,2.64,ACID,2.84,2.72,0.11999999999999966,NA,NA,430.5410000000002,93.06,2,6,2.7168000000000014,430.54,93.06,0.0010000000002037268,0,0,0,0.0031999999999987594,NA,7.64,2.522598149380029,"7.69, 7.797",2,"ACID, ACID"
DOXAZOSIN,CHEMBL707,451.48,112.27,1,9,1.72,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,0.017,1,0.017,NA,NA,NA,NA,ChEMBL_Fu,0.017,6.7,2,"6.5, 6.9",NA,0,NA,NA,6.15,3.28,BASE,3.3,1.72,1.5799999999999998,NA,NA,451.4830000000003,112.27000000000001,1,9,1.7177999999999993,451.48,112.27,0.00300000000027012,1.4210854715202004e-14,0,0,0.002200000000000646,1.6409902503474334,6.15,1.6962398022658596,"4.917, 5.993, 6.235, 8.735",4,"BASE, BASE, BASE, ACID"
ESTRADIOL,CHEMBL135,272.39,40.46,2,2,3.61,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,0.015,3,"0.015, 0.015, 0.016",NA,NA,NA,NA,ChEMBL_Fu,0.015,NA,0,NA,4.01,1,4.01,11.66,NA,3.91,ACID,3.91,3.61,0.30000000000000027,NA,0.09999999999999964,272.3879999999999,40.46,2,2,3.6092000000000026,272.39,40.46,0.002000000000066393,0,0,0,7.999999999972474e-4,NA,11.66,3.6099761343988406,10.033,1,ACID
ALCOHOL,CHEMBL545,46.07,20.23,1,1,0.00,CCO,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,12.31,NA,-0.31,ACID,-0.31,0,0.31,NA,NA,46.069,20.23,1,1,-0.0014000000000000123,46.07,20.23,9.999999999976694e-4,0,0,0,0.0014000000000000123,NA,12.31,-5.342956517925453e-6,9.791,1,ACID
LIDOCAINE,CHEMBL79,234.34,32.34,1,2,2.58,CCN(CC)CC(=O)Nc1c(C)cccc1C,0.303,5,"0.3, 0.3, 0.33, 0.303, 0.959",NA,NA,NA,NA,ChEMBL_Fu,0.303,7.9190000000000005,20,"7.94, 7.94, 7.9, 7.63, 7.95, 7.94, 7.94, 8.5, 7.9, 7.94, 7.95, 7.928, 7.94, 7.86, 7.9, 7.91, 7.91, 7.78, 7.52, 5.2",1.6484999999999999,4,"1.65, 1.71, 1.647, 1.63",NA,6.44,2.3,BASE,2.35,2.58,0.22999999999999998,NA,0.6515,234.343,32.34,1,2,2.5837400000000006,234.34,32.34,0.002999999999985903,0,0,0,0.0037400000000005207,1.94615847300089,6.44,2.5348148358685036,"5.808, 7.88, 9.983",3,"BASE, BASE, ACID"
LORAZEPAM,CHEMBL580,321.16,61.69,2,3,3.10,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,0.09,4,"0.09, 0.09, 0.09, 0.057",NA,NA,NA,NA,ChEMBL_Fu,0.09,11.5,1,11.5,2.51,1,2.51,9.42,NA,2.39,ACID,2.39,3.1,0.71,2.08,0.11999999999999966,321.163,61.69,2,3,3.1013000000000015,321.16,61.69,0.002999999999985903,0,0,0,0.0013000000000014111,3.099965504133118,9.42,3.0958721987714095,"6.315, 9.969, 10.846",3,"BASE, ACID, ACID"
MIRTAZAPINE,CHEMBL654,265.36,19.37,0,3,2.48,CN1CCN2c3ncccc3Cc3ccccc3C2C1,0.16,7,"0.15, 0.15, 0.16, 0.266, 0.286, 0.32, 0.15",NA,NA,NA,NA,ChEMBL_Fu,0.16,7.3,8,"7.3, 7.1, 7.3, 3.59, 7.79, 7.3, 7.3, 7.3",2.3,1,2.3,NA,7.35,1.25,BASE,1.53,2.48,0.95,NA,1.0499999999999998,265.36,19.37,0,3,2.4789000000000003,265.36,19.37,0,0,0,0,0.0010999999999996568,2.226098108956133,7.35,2.203250843541813,"3.763, 4.607, 7.377",3,"BASE, BASE, BASE"
PANTOPRAZOLE,CHEMBL1502,383.38,92.32,1,6,2.88,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,0.02,1,0.02,NA,NA,NA,NA,ChEMBL_Fu,0.02,5.845000000000001,4,"3.92, 8.19, 4, 7.69",NA,0,NA,NA,0.36,1.45,BASE,1.45,2.88,1.43,NA,NA,383.3760000000001,92.32000000000001,1,6,2.8843000000000005,383.38,92.32,0.0039999999999054126,1.4210854715202004e-14,0,0,0.004300000000000637,2.8680655225663907,0.36,2.8799999603918742,"4.132, 4.38, 7.281",3,"BASE, BASE, ACID"
PENTOXIFYLLINE,CHEMBL628,278.31,78.89,0,7,0.19,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,1,2,"1, 1",FLAG: contains 0 or 1,NA,NA,NA,ChEMBL_Fu,1,NA,0,NA,0.29,1,0.29,NA,2.41,0.29,BASE,0.29,0.19,0.09999999999999998,NA,0,278.31200000000007,78.89,0,4,0.19300000000000006,278.31,78.89,0.002000000000066393,0,0,3,0.003000000000000058,NA,2.41,0.1899955559177388,4.402,1,BASE
PROPYLTHIOURACIL,CHEMBL1518,170.24,48.65,2,2,1.38,CCCc1cc(=O)[nH]c(=S)[nH]1,0.18,1,0.18,NA,NA,NA,NA,ChEMBL_Fu,0.18,NA,0,NA,0.85,1,0.85,NA,-0.26,-0.39,BASE,-0.39,1.38,1.77,NA,1.24,170.237,48.65,2,2,1.38499,170.24,48.65,0.0030000000000143245,0,0,0,0.00499000000000005,NA,-0.26,1.379999990498672,"4.885, 8.737, 10.357",3,"BASE, ACID, ACID"
QUETIAPINE,CHEMBL716,383.52,48.30,1,6,2.86,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,NA,0,NA,NA,NA,NA,0,NA,NA,6.91,3,"3.64, 6.91, 11.18",3.4,1,3.4,NA,7.7,2.29,BASE,2.77,2.86,0.08999999999999986,NA,1.1099999999999999,383.51700000000017,48.300000000000004,1,6,2.8560000000000016,383.52,48.3,0.0029999999998153726,7.105427357601002e-15,0,0,0.003999999999998227,2.7382453227807413,7.7,2.3835651375635147,"7.204, 7.884, 9.863",3,"BASE, BASE, ACID"
REBOXETINE,CHEMBL14370,313.40,39.72,1,4,3.19,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,0.0325,2,"0.019, 0.046",NA,NA,NA,NA,ChEMBL_Fu,0.0325,NA,0,NA,NA,0,NA,NA,7.71,2.78,BASE,3.26,3.19,0.06999999999999984,NA,NA,313.39700000000005,39.72,1,4,3.1938000000000004,313.4,39.72,0.0029999999999290594,0,0,0,0.0038000000000004697,NA,7.71,2.7068782045125888,7.798,1,BASE
THEOBROMINE,CHEMBL1114,180.17,72.68,1,5,-1.04,Cn1cnc2c1c(=O)[nH]c(=O)n2C,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,9.82,NA,-0.77,ACID,-0.77,-1.04,0.27,NA,NA,180.16699999999997,72.68,1,3,-1.0397,180.17,72.68,0.0030000000000143245,0,0,2,2.9999999999996696e-4,NA,9.82,-1.0416480107692232,"4.211, 5.414, 9.268",3,"BASE, BASE, ACID"
