Drug,SMILES,Type,pKa_exp,pkasolver_pKa_acid,opera_pKa_acid,molgpka_pKa_acid,unipka_pKa_acid,pkasolver_pKa_base,opera_pKa_base,molgpka_pKa_base,unipka_pKa_base,pkasolver_FG_acid,pkasolver_FG_base,molgpka_acid_raw,molgpka_base_raw,molgpka_acid_N,molgpka_base_N
Clindamycin,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,BASE,NA,8.042730140686036,NA,NA,NA,7.217128391265869,6.58,8.68,7.407263225,alcohol,aliphatic_amine,"12.83, 12.69, 13.09, 12.83",8.68,4,1
Clomipramine,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,BASE,9.38,NA,NA,NA,NA,8.766977272033692,7.42,9.41,9.649151443,NA,aliphatic_amine,NA,"6.91, 9.41",0,2
Clonazepam,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,ACID,NA,9.461673698425294,8.75,NA,10.74005207,NA,NA,3.78,NA,acidic_amide,NA,11.36,3.78,1,1
Codeine,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,BASE,8.2,8.784990501403808,NA,NA,NA,8.010235786437988,7.95,8.01,7.773549982,alcohol,aliphatic_amine,13.47,8.01,1,1
Colchicine,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,BASE,NA,9.577218742370606,NA,NA,NA,NA,7.16,NA,NA,acidic_amide,NA,13.81,NA,1,0
Cotinine,CN1C(=O)CC[C@H]1c1cccnc1,BASE,4.5,NA,NA,NA,NA,3.1118795013427736,3.52,5,4.769493786,NA,heterocyclic_N_basic_6ring,NA,5,0,1
Desipramine,CNCCCN1c2ccccc2CCc2ccccc21,BASE,10.2,NA,NA,NA,NA,9.533452758789062,7.06,10.44,10.75895234,NA,aliphatic_amine,NA,"6.9, 10.44",0,2
Diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,BASE,3.55,NA,NA,NA,NA,NA,3.6,4.2,4.104829906,NA,NA,NA,4.2,0,1
Dothiepin,CN(C)CC/C=C1\c2ccccc2CSc2ccccc21,ACID,9.25,NA,9.11,NA,NA,9.305014457702637,NA,9.3,8.982901048,NA,aliphatic_amine,NA,9.3,0,1
Doxepin,CN(C)CCC=C1c2ccccc2COc2ccccc21,BASE,9,NA,NA,NA,NA,8.952740783691405,10.11,9.29,9.359973251,NA,aliphatic_amine,NA,9.29,0,1
Duloxetine,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,BASE,9.97,NA,NA,NA,NA,9.844199180603027,5.24,9.98,9.129969382,NA,aliphatic_amine,NA,9.98,0,1
Escitalopram,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,BASE,NA,NA,NA,NA,NA,9.605813484191895,7.36,9.67,8.841502533,NA,aliphatic_amine,NA,9.67,0,1
Fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,BASE,10.2,NA,NA,NA,NA,9.746043128967285,12.54,9.97,9.338007557,NA,aliphatic_amine,NA,9.97,0,1
Fluvoxamine,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,BASE,9.45,NA,NA,NA,NA,9.594550819396973,7.05,9.03,8.188420694,NA,aliphatic_amine,NA,"6.26, 9.03",0,2
Hydralazine,NNc1nncc2ccccc12,BASE,7.3,8.649924926757812,NA,NA,NA,5.767066478729248,7.15,5.96,7.499655774,acidic_aniline,heterocyclic_N_basic_polyhet,12.05,"5.39, 5.96",1,2
Hydromorphone,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,BASE,NA,8.622216873168945,NA,9.21,9.30917636,7.934489612579346,7.38,8.36,7.800115036,phenol,aliphatic_amine,9.21,8.36,1,1
Hydroxychloroquine,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,AMPHOLYTE,NA,8.967913990020753,9.88,NA,NA,8.20999053955078,8.56,8.74,9.548848573,alcohol,aliphatic_amine,"13.81, 13.77","8.74, 6.34, 6.1445494",2,3
Imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,BASE,9.5,NA,NA,NA,NA,9.018177070617675,7.89,9.48,9.768368672,NA,aliphatic_amine,NA,"7.01, 9.48",0,2
Isoniazid,NNC(=O)c1ccncc1,AMPHOLYTE,0.925,8.518807392120362,11.19,NA,NA,3.8529124450683594,5.67,4.14,3.560044537,acidic_amide,heterocyclic_N_basic_6ring,11.19,"3.5033698, 4, 4.14",1,3
Levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,ACID,7.470000000000001,5.556838912963867,4.03,3.27,8.94948807,9.213680267333984,NA,8.67,NA,carboxylate,aliphatic_amine,"2.24, 5.16, 3.27",8.67,3,1
Methadone,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,NEUTRAL,8.775,NA,NA,NA,NA,8.886227874755859,NA,9.55,8.605819371,NA,aliphatic_amine,NA,9.55,0,1
Methylphenidate,COC(=O)C(c1ccccc1)C1CCCCN1,BASE,9.24,NA,NA,NA,NA,9.279280853271484,10.54,9.66,9.113971593,NA,aliphatic_amine,NA,9.66,0,1
Metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,BASE,9.7,NA,NA,NA,NA,9.600602073669434,10.43,9.02,9.609009096,NA,aliphatic_amine,13.88,9.02,1,1
Metronidazole,Cc1ncc([N+](=O)[O-])n1CCO,BASE,0,7.258438034057617,NA,NA,NA,4.049307346343994,3.33,NA,NA,alcohol,heterocyclic_N_basic_5ring_polyhet,13.83,"1.46, 2.61",1,2
Mianserin,CN1CCN2c3ccccc3Cc3ccccc3C2C1,BASE,7.1,NA,NA,NA,NA,7.469741668701172,8.02,7.99,7.700633311,NA,aliphatic_amine,NA,"7.47, 7.99",0,2
Minoxidil,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],BASE,4.6,10.169734115600585,NA,NA,NA,9.77235378265381,5.59,6.96,4.219558697,acidic_aniline,aliphatic_amine,"11.57, 11.57, 12.23, 12.23","6.96, 5.44, 5.75, 5.37",4,4
Morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,BASE,8.18,8.176908836364746,NA,9.43,9.748568966,7.7969005584716795,8.06,8.03,7.923234899,alcohol,aliphatic_amine,"9.43, 13.1",8.03,2,1
