Drug,SMILES,Type,pKa_exp,pkasolver_pKa_acid,opera_pKa_acid,molgpka_pKa_acid,unipka_pKa_acid,pkasolver_pKa_base,opera_pKa_base,molgpka_pKa_base,unipka_pKa_base,pkasolver_FG_acid,pkasolver_FG_base,molgpka_acid_raw,molgpka_base_raw,molgpka_acid_N,molgpka_base_N
Loratadine,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,ACID,4.58,5.036717662811279,8.63,NA,NA,4.322069597244263,NA,4.33,4.666054232,carbamate,heterocyclic_N_basic_6ring,NA,4.33,0,1
Naproxen,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,ACID,4.1899999999999995,4.509268817901611,5,4.42,4.209588544,NA,NA,NA,NA,carboxylate,NA,4.42,NA,1,0
Nefazodone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,ACID,6.645,NA,8.2,NA,NA,6.649334564208984,NA,7.42,7.425226761,NA,aliphatic_amine,NA,"2.5421128, 3.68645, 7.42, 6.08",0,4
Phenacetin,CCOc1ccc(NC(C)=O)cc1,ACID,2.2,NA,13.44,NA,NA,NA,NA,NA,NA,NA,NA,13.86,NA,1,0
Propafenone,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,BASE,9.27,NA,NA,NA,NA,8.856993103027344,7.18,9.08,9.018863854,NA,aliphatic_amine,13.81,9.08,1,1
Quazepam,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,BASE,NA,NA,NA,NA,NA,NA,4.12,4.44,3.582733398,NA,NA,NA,4.44,0,1
Fexofenadine,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,AMPHOLYTE,4.7,5.496658096313476,4.17,4.42,9.016579895,7.367578735351563,8.78,9.45,4.362147744,carboxylate,aliphatic_amine,"4.42, 12.95, 13.04",9.45,3,1
Tolmetin,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,ACID,3.5,3.893364009857178,5.89,4.34,4.31299941,NA,NA,NA,NA,carboxylate,NA,4.34,1.12,1,1
Trazodone,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,BASE,6.73,NA,NA,NA,NA,6.982229881286621,6.02,7.46,7.472564385,NA,aliphatic_amine,NA,"6.07, 7.46, 3.0855703, 3.3851137",0,4
Allopurinol,Oc1ncnc2[nH]ncc12,BASE,9.35,5.140163507461548,NA,10.19,8.738347108,9.436239051818848,1.83,NA,NA,phenol,heterocyclic_N_basic_5ring_polyhet,"0.79, 10.19","2.43, 2.29, 2.8",2,3
Amiodarone,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,BASE,8.73,NA,NA,NA,NA,7.505460777282715,5.57,8.97,8.394369678,NA,aliphatic_amine,NA,8.97,0,1
Cannabidiol,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,ACID,NA,10.068207359313964,9.64,9.71,9.484321496,NA,NA,NA,NA,phenol,NA,"9.71, 9.71",NA,2,0
Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,ACID,NA,9.155458641052245,5.07,NA,NA,NA,NA,NA,NA,acidic_amide,NA,"13.58, 13.58",NA,2,0
Celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,AMPHOLYTE,NA,6.695106449127198,12.97,9.72,9.67281207,NA,0.87,4.06,NA,sulfonamide,NA,"9.72, 9.72","1.114461, 4.06",2,2
Clozapine,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,BASE,7.63,8.05432451248169,NA,NA,NA,9.157950305938721,9.78,7.84,8.022353918,acidic_aniline,aliphatic_amine,13.89,"7.47, 7.84, 6.86",1,3
Cyclosporine,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,NEUTRAL,NA,7.284310569763184,NA,NA,10.45259388,NA,NA,NA,3.810944219,alcohol,NA,"13.43, 12.92, 13.1, 13.1, 13.12",NA,5,0
Domperidone,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,AMPHOLYTE,7.9,NA,6.55,10.41,NA,10.064715118408204,4.24,8.95,7.873477149,NA,heterocyclic_N_basic_5ring_polyhet,"10.83, 10.41","3.6702952, 8.95, 3.5544157",2,3
Dronabinol/THC,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,NEUTRAL,NA,10.631449737548827,NA,9.74,10.00868846,NA,NA,NA,NA,phenol,NA,9.74,NA,1,0
Drospirenone,C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@H]1[C@@H]3[C@@H]4C[C@@H]4[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@@H]12,NEUTRAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,NEUTRAL,8.65,9.396087989807128,NA,NA,NA,8.505235061645507,NA,8.14,8.340421122,alcohol,aliphatic_amine,13.84,8.14,1,1
Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,BASE,8.07,9.079437484741211,NA,NA,NA,9.143615989685058,8.35,7.58,7.815788918,acidic_aniline,aliphatic_amine,"12.94, 13.16","3.1035824, 6.1, 7.53, 7.58, 2.5978408, 4.0660896",2,6
Lamotrigine,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,BASE,5.195,7.978097190856934,NA,NA,NA,7.6443267440795895,5.05,6.59,4.186398479,acidic_aniline,aliphatic_amine,"12.87, 12.87, 13.24, 13.24","6.59, 3.94, 5.19",4,3
Nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,BASE,NA,9.827936935424805,NA,NA,NA,4.213680524826049,2.92,4.82,3.97308877,acidic_amide,aliphatic_amine,11.96,"3.26, 3.86, 4.82",1,3
Nifedipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],BASE,1,NA,NA,NA,9.675294011,4.806663103103638,4.93,NA,NA,NA,aliphatic_amine,NA,NA,0,0
Nimodipine,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,BASE,NA,NA,NA,NA,10.06973332,4.811790447235108,6.08,NA,NA,NA,aliphatic_amine,NA,NA,0,0
Nitrendipine,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,BASE,NA,NA,NA,NA,10.18604317,4.774965686798096,5.37,NA,NA,NA,aliphatic_amine,NA,NA,0,0
Olanzapine,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,ACID,7.9,7.943711757659912,8.25,NA,NA,8.718348445892333,NA,8.25,7.644094064,acidic_aniline,aliphatic_amine,14.21,"8.25, 7.65, 7.29",1,3
Oxazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,ACID,0.165,10.188254280090332,8.93,NA,8.284693808,NA,NA,4.94,NA,acidic_amide,NA,"11.25, 11.08",4.94,2,1
Paclitaxel,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,ACID,NA,7.77158224105835,6.16,NA,9.874135606,NA,NA,NA,NA,alcohol,NA,"11.48, 11.65, 11.12, 12.12",NA,4,0
Praziquantel,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,BASE,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,0,0
Prednisone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,ACID,NA,6.415539512634277,8.77,NA,9.626511577,NA,NA,NA,NA,alcohol,NA,"12.26, 12.47",NA,2,0
Primidone,CCC1(c2ccccc2)C(=O)NCNC1=O,ACID,NA,8.74431022644043,8.36,NA,10.64587219,NA,NA,NA,NA,acidic_amide,NA,"11.9, 11.9",NA,2,0
Ritonavir,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,ACID,NA,4.4440897274017335,6.22,NA,NA,5.422878103256226,NA,3.33,3.690548628,carbamate,heterocyclic_N_basic_5ring_polyhet,"11.53, 11.7, 11.86, 11.37","3.33, 2.54",4,2
Rivaroxaban,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,BASE,NA,8.71687349319458,NA,NA,NA,NA,3.94,NA,NA,acidic_amide,NA,13.37,NA,1,0
Rofecoxib,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,NEUTRAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Spironolactone,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,NEUTRAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Tacrolimus,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC.O,BASE,NA,7.364769172668457,NA,10.24,7.951761076,NA,6.19,NA,3.256255896,alcohol,NA,"12.36, 10.24, 13.45",NA,3,0
Zaleplon,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,BASE,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,"1.57, 1.41, 1.39",0,3
Aztreonam,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,ACID,2.75,3.996499500274658,6.04,8.74,NA,3.0378773689270018,NA,5.3,3.39044504,acidic_amide,aliphatic_amine,"1.26, 8.74, -0.14","5.13, 3.1084957, 5.3",3,3
Benzylpenicillin,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,ACID,2.72,6.1173726844787595,5.78,NA,NA,NA,NA,NA,NA,acidic_amide,NA,"2.61, 12.32",NA,2,0
Captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,ACID,3.7,3.8357811832427977,2.62,3.5,3.343830641,NA,NA,NA,NA,carboxylate,NA,"3.5, 9.56",NA,2,0
Cefonicid,O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12,ACID,NA,4.051737060546875,5.84,9.61,NA,NA,NA,NA,NA,alcohol,NA,"1.44, -0.82, 10.31, 9.61",2.15,4,1
Cefotaxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,AMPHOLYTE,3.75,3.2604321956634523,4.78,9.17,3.521451405,3.9180069255828855,6.34,5.27,3.072007333,carboxylate,aliphatic_amine,"2.43, 9.17","3.04, 3.2661133, 5.27",2,3
Cefoxitin,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,ACID,NA,3.213924837112427,5.16,NA,NA,NA,NA,NA,NA,carboxylate,NA,"2.56, 12.79, 12.79, 12.06",2.44,4,1
Emtricitabine,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,ACID,NA,8.034459400177003,5.09,NA,NA,4.112766199111938,NA,4.89,NA,acidic_aniline,aliphatic_amine,"13.56, 13.12, 13.12","2.31, 4.89, 2.36",3,3
Enalaprilat,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O.O,ACID,NA,3.109260320663452,4.07,3.93,3.986791193,7.473747005462647,NA,7.42,NA,carboxylate,aliphatic_amine,"3.93, 2.09",7.42,2,1
Hydrochlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,ACID,9.035,7.35687484741211,8.32,9.01,9.947031402,4.412129621505738,NA,4,NA,sulfonamide,aliphatic_amine,"9.06, 9.06, 9.7, 9.01","4, 2.15, 2.85",4,3
Levofloxacin,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O,ACID,6.1,6.620166549682617,1.2,8.49,6.482451694,6.8051581382751465,NA,7.19,5.689029001,carboxylate,aliphatic_amine,"8.49, 8.49","3.4005299, 6.4, 7.19, 3.4005299, 6.4, 7.19",2,6
Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,AMPHOLYTE,4.7,3.6141524600982664,1.74,3.32,4.443264582,6.476412506103515,8.44,6.32,NA,carboxylate,aliphatic_amine,"4.22, 3.32, 12.88, 11.91, 11.91, 11.17, 11.17","4.29, 5.3, 5.91, 4.91, 6.32, 5.87, 4.46",7,7
Methyldopa,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,AMPHOLYTE,2.218,5.760492067337037,4.25,5.17,9.021622043,7.857598419189453,7.68,9.17,NA,carboxylate,aliphatic_amine,"2.31, 7.8, 5.17",9.17,3,1
Tenofovir,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O.O,AMPHOLYTE,NA,4.574927043914795,1.29,NA,4.450149135,3.3153982162475586,7.96,5.58,NA,phosphate,heterocyclic_N_basic_polyhet,"2.62, 2.62, 11.8, 11.8","3.01, 3.84, 5.58, 4.34, 3.96",4,5
Topiramate,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,BASE,8.68,7.28404483795166,NA,9.23,9.086546388,NA,4.97,3.96,NA,sulfonamide,NA,"9.23, 9.23",3.96,2,1
Vigabatrin,C=CC(N)CCC(=O)O,NEUTRAL,9.5,4.9296157264709475,NA,4.36,9.161388871,9.528127555847169,NA,9.67,4.476306343,carboxylate,aliphatic_amine,4.36,9.67,1,1
Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,BASE,9.54,NA,NA,NA,NA,9.506144485473634,8.16,9.12,9.664320881,NA,aliphatic_amine,"13.87, 13.84, 13.84","5.55, 9.12",3,2
Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,BASE,9.094999999999999,8.861665229797364,NA,NA,NA,8.846673240661621,6.55,9.02,8.924896076,alcohol,aliphatic_amine,"13.34, 13.09, 13.48, 13.3, 13.16","8.85, 9.02",5,2
Baclofen,NCC(CC(=O)O)c1ccc(Cl)cc1,ACID,6.699999999999999,4.558400936126709,4.12,4.16,9.462241386,9.107638607025146,NA,9.5,4.0295086,carboxylate,aliphatic_amine,4.16,9.5,1,1
Chloroquine,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,BASE,9.9,NA,NA,NA,10.58506834,8.972896461486817,11.34,10.09,10.33177371,NA,aliphatic_amine,13.79,"6.78, 6.42, 10.09",1,3
Cimetidine,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,BASE,6.885,NA,NA,9.37,10.97617825,7.969078273773193,9.2,8.68,6.901544225,NA,heterocyclic_N_basic_5ring_polyhet,"9.37, 12.8, 13.95","6.854847, 8.68",3,2
Disopyramide,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,BASE,10.32,NA,NA,NA,10.13927157,9.46804141998291,8.93,9.48,9.495698661,NA,aliphatic_amine,"13.32, 13.32","4.6325912, 6, 9.48",2,3
Famotidine,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1,BASE,7.1,8.897116413116455,NA,8.19,9.277032997,7.819827346801758,5.71,7.11,6.684102226,sulfonamide,aliphatic_amine,"8.19, 8.19","7.11, 4.230238, 4.53, 2.68, 4.32",2,5
Flecainide,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,AMPHOLYTE,9.3,9.182248382568359,7.87,NA,NA,9.107427864074706,8.52,9.52,8.986857574,acidic_amide,aliphatic_amine,13.79,9.52,1,1
Fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,BASE,NA,8.877418422698975,NA,NA,NA,3.605141363143921,2.12,NA,NA,alcohol,heterocyclic_N_basic_5ring_polyhet,11.2,"2.92, 2.92",1,2
Metformin,CN(C)C(=N)NC(=N)N,BASE,11.25,NA,NA,9.85,8.862782634,NA,13.28,9.57,NA,NA,NA,"9.85, 12.42, 10.33","9.18, 9.57",3,2
Metoclopramide,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,BASE,9.455,8.917244415283204,NA,NA,NA,8.87051773071289,11.21,9.04,9.476687622,acidic_amide,aliphatic_amine,"13.4, 13.4, 13.77","5.79, 9.04",3,2
Nadolol,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,AMPHOLYTE,9.67,NA,9.8,NA,NA,9.578009490966798,9.8,9.41,9.449872851,NA,aliphatic_amine,"13.8, 13.79, 13.79",9.41,3,1
Ofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,ACID,8.31,6.519378051757813,1.2,5.48,8.132888484,6.762609634399414,NA,7.2,5.330074552,carboxylate,aliphatic_amine,5.48,"3.4020233, 6.4, 7.2",1,3
Pilsicainide,Cc1cccc(C)c1NC(=O)CC12CCCN1CCC2,BASE,NA,10.562206649780274,NA,NA,NA,8.691837730407714,7.04,10.48,8.843619618,acidic_amide,aliphatic_amine,13.88,10.48,1,1
Pseudoephedrine,CN[C@@H](C)[C@@H](O)c1ccccc1,BASE,10.055,10.666882286071777,NA,NA,NA,9.778911628723144,9.58,9.52,9.555706009,alcohol,aliphatic_amine,13.85,9.52,1,1
Pyridostigmine,CN(C)C(=O)Oc1ccc[n+](C)c1,BASE,NA,NA,NA,NA,10.83075992,NA,4.82,NA,NA,NA,NA,NA,2.67,0,1
Pyrimethamine,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,BASE,7.36,9.686914558410644,NA,NA,NA,9.843728561401367,6.73,6.77,7.027011129,acidic_aniline,aliphatic_amine,"12.58, 12.58, 13.11, 13.11","4.82, 6.29, 5.82, 6.77",4,4
Sotalol,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,ACID,9.76,7.106814002990722,8.12,8.53,9.768856265,8.80897367477417,NA,8.96,8.528644876,sulfonamide,aliphatic_amine,"12.63, 8.53",8.96,2,1
Stavudine,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,ACID,NA,7.7335772132873535,8.69,9.44,9.433355508,9.430817184448243,NA,NA,NA,alcohol,heterocyclic_N_basic_polyhet,"13.04, 9.44",1.99,2,1
Terbutaline,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,BASE,8.7,NA,NA,9.39,9.441461144,9.456154861450194,8.51,9.42,8.740306382,NA,aliphatic_amine,"9.39, 9.39, 13",9.42,3,1
Digoxin,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,BASE,NA,8.794686145782471,NA,NA,9.348579655,NA,5.82,NA,3.515348144,alcohol,NA,"13.37, 13.07, 13.48, 13.42, 13.7, 13.43",NA,6,0
Lamivudine,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,ACID,NA,8.579412307739258,7.25,NA,NA,4.225261669158936,NA,4.7,3.349664173,alcohol,heterocyclic_N_basic_polyhet,"13.55, 13.27, 13.27","2.71, 4.7, 4.17",3,3
Levetiracetam,CC[C@@H](C(N)=O)N1CCCC1=O,ACID,NA,7.882407970428467,9.42,NA,NA,NA,NA,3.01,NA,acidic_amide,NA,"13.85, 13.85",3.01,2,1
Nizatidine,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,BASE,6.59,NA,NA,NA,10.18206896,6.195940132141113,9.86,7.19,7.482116221,NA,aliphatic_amine,NA,"2.7876182, 7.19",0,2
Alphamethyldopa,NA,AMPHOLYTE,NA,NA,4.25,NA,NA,NA,7.68,NA,NA,NA,NA,NA,NA,0,0
Ampicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,ACID,4.895,3.144306173324585,5.86,NA,7.049866261,3.5523139381408693,NA,6.9,NA,carboxylate,aliphatic_amine,"2.6, 11.24",6.9,2,1
Gabapentin,NCC1(CC(=O)O)CCCCC1,ACID,4.1,4.877278366088867,3.92,4.58,10.26559047,9.99729362487793,NA,10.81,3.970644823,carboxylate,aliphatic_amine,4.58,10.81,1,1
Pregabalin,CC(C)C[C@H](CN)CC(=O)O,ACID,NA,5.089657077789306,4.08,4.32,10.32377318,9.743877983093261,NA,10.33,4.15117084,carboxylate,aliphatic_amine,4.32,10.33,1,1
Acyclovir,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,AMPHOLYTE,NA,9.03635540008545,7.06,9.72,9.063105325,9.399751243591309,5.23,5.97,NA,alcohol,heterocyclic_N_basic_polyhet,"12.79, 9.72, 11.86, 11.86","3.21, 2.57, 5.97, 2.17",4,4
Candesartan,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,ACID,3.9,5.1941495132446285,1.71,4.02,3.892440305,4.546955709457397,NA,5.33,NA,tetrazole,heterocyclic_N_basic_5ring_polyhet,"2.79, 4.02","5.33, 2.82",2,2
Cefprozil,CC=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,AMPHOLYTE,NA,3.2685599231719973,8.25,8.97,7.495032327,4.016300897598267,7.2,6.81,NA,carboxylate,aliphatic_amine,"2.74, 11.24, 8.97",6.81,3,1
Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,AMPHOLYTE,6.225,6.76483720779419,-0.74,6.79,8.99440918,7.446367130279541,7.91,8.56,5.584633609,carboxylate,aliphatic_amine,6.79,"4.1877103, 7.72, 8.56",1,3
Nitrofurantoin,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,ACID,NA,8.668867282867431,2.2,7.29,6.649630361,NA,NA,4.88,NA,acidic_amide,NA,7.29,"4.88, 4.15",1,2
Penicillin V,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O,ACID,2.735,3.06099778175354,5.68,10.71,NA,NA,NA,NA,NA,carboxylate,NA,"2.61, 10.71",NA,2,0
Sulfisoxazole,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,ACID,5,6.207624492645263,4.26,6.24,3.98862592,5.605841522216797,NA,4.09,NA,sulfonamide,aliphatic_amine,"6.24, 13.2, 13.2",4.09,3,1
Amisulpride,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,BASE,9.335,9.305875282287598,NA,NA,NA,8.978714599609376,9.8,9.08,9.085707357,acidic_aniline,aliphatic_amine,"13.77, 12.28, 12.28","9.08, 4.95",3,2
Paliperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,BASE,NA,8.655125789642334,NA,NA,NA,8.181589660644532,7.36,7.96,8.122336506,alcohol,aliphatic_amine,12.99,"3.063642, 7.96, 2.6715145",1,3
Roxithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,NEUTRAL,9.235,8.769520721435548,NA,NA,10.92098376,8.615099754333496,NA,7.74,8.261097727,alcohol,aliphatic_amine,"13.37, 13.05, 13.05, 13.2, 12.97","7.74, 7.13",5,2
Levonorgestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,ACID,NA,8.390453662872314,10.17,NA,NA,NA,NA,NA,3.560410446,alcohol,NA,13.07,NA,1,0
Medroxyprogesterone,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,ACID,NA,NA,9.58,NA,10.23904434,NA,NA,NA,3.380374264,NA,NA,NA,NA,0,0
Fleroxacin,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,AMPHOLYTE,6.85,6.366045818328858,-2.18,6.38,7.92260346,6.50859302520752,6.75,6.99,5.355650624,carboxylate,aliphatic_amine,6.38,"2.5475059, 6.5, 6.99",1,3
