Drug,SMILES,pKa_values,pKa_pkasolver,unipka_acidic_macro_pKa,unipka_basic_macro_pKa,unipka_error,pKa_acid_v2,pKa_base_v2
Duloxetine,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,9.97,9.844,,9.129969382,,,9.844199181
Escitalopram,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,,9.606,,8.841502533,,,9.605813484
Fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,"10.2, 10.2, 9.5, 10.2, 10.1, 10.5",9.746,,9.338007557,,,9.746043129
Fluvoxamine,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,"9.5, 9.4",9.595,,8.188420694,,,9.594550819
Hydralazine,NNc1nncc2ccccc12,7.3,"2.728, 3.532, 5.767, 8.65",,7.499655774,,8.649924927,5.767066479
Hydromorphone,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,,"7.934, 8.622",9.30917636,7.800115036,,8.622216873,7.934489613
Hydroxychloroquine,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,,"5.21, 5.784, 8.21, 8.968",,9.548848573,,8.96791399,8.20999054
Imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,"9.51, 9.45, 9.5, 9.5, 3.52, 9.5, 9.45, 2.1, 9.51, 9.45, 9.4, 10.2, 9.5, 9.5, 9","5.813, 9.018",,9.768368672,,,9.018177071
Isoniazid,NNC(=O)c1ccncc1,"1.8, 0.05","3.853, 8.519",,3.560044537,,8.518807392,3.852912445
Levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,"12.73, 2.21","5.557, 9.214",8.94948807,,,5.556838913,9.213680267
Methadone,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,"8.25, 9.3",8.886,,8.605819371,,,8.886227875
Methylphenidate,COC(=O)C(c1ccccc1)C1CCCCN1,"9.24, 9.24",9.279,,9.113971593,,,9.279280853
Metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,"9.6, 9.7, 9.7, 9.7, 9.7, 9.18, 6.55, 9.63, 9.7, 9.18, 2.45, 9.56, 9.7, 9.7, 13.74, 9.7, 9.17",9.601,,9.609009096,,,9.600602074
Metronidazole,Cc1ncc([N+](=O)[O-])n1CCO,0,"4.049, 7.258",,,,7.258438034,4.049307346
Mianserin,CN1CCN2c3ccccc3Cc3ccccc3C2C1,"7.1, 7.1, 8.4","6.586, 7.47",,7.700633311,,,7.469741669
Minoxidil,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],4.6,"3.709, 4.305, 5.015, 5.117, 9.772, 10.17",,4.219558697,,10.16973412,9.772353783
Morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,"8.18, 8.18, 9.26, 9.26, 9.46, 8.18, 8.17, 8.13, 9.6, 7.93, 8.18, 8.18, 8.18, 8.3, 7.93","7.797, 8.177, 8.618",9.748568966,7.923234899,,8.176908836,7.796900558
Naltrexone,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,8.1,"8.497, 9.005, 9.103",9.304787286,8.186908652,,9.004904785,8.497291489
Nicotine,CN1CCC[C@H]1c1cccnc1,"8.1, 8.1, 8, 8.08, 3.4, 7.66, 7.9, 8.11, 8.1","4.932, 8.293",,8.091322039,,,8.292937088
Nortriptyline,CNCCC=C1c2ccccc2CCc2ccccc21,"10.1, 9.7, 9.7, 10.41, 10.1, 10.41, 10.13, 10.1, 13.9",9.794,,10.00607382,,,9.793729706
Paroxetine,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,"9.51, 11.2, 10.1, 9.51, 10.1, 9.51, 9.5, 10.34",9.788,,9.698828808,,,9.788445778
Pefloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,,"5.194, 6.607, 6.86",7.988910863,5.560942976,,6.60710104,6.860183144
Prednisolone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,0,"6.694, 7.029, 8.285",9.781829575,3.022146542,,6.693532009,
Propranolol,CC(C)NCC(O)COc1cccc2ccccc12,"9.45, 9.45, 9.5, 9.5, 9.15, 6.49, 9.68, 9.53, 9.64, 9.45, 9.17, 2.3, 9.53, 9.45, 9.6, 9.6, 10.17, 9.5, 9.45, 9.56, 9.51, 9.43, 9.35, 7.5",9.543,,9.4855458,,,9.543197212
Quinine,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,"8.8, 9.13, 8.5, 8.8, 8.55, 8.56, 1.6, 3.1, 8.8","6.88, 9.417, 10.594",,8.145216558,,10.59406818,9.416836929
Risperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,"7.91, 8.3, 8.7, 3.16, 3.16, 8.63, 8.3, 8.3, 8.3, 13, 8.2","4.504, 6.14, 7.873",,7.901076887,,,7.873133888
Sumatriptan,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,"9.5, 9.5, 9.4, 9.68, 9.5, 8.7","6.868, 7.935, 8.289, 8.793, 10.176",10.60273581,8.944537559,,7.934595928,8.28934515
Temazepam,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,,"2.84, 10.291",8.640871638,,,10.2913345,
Timolol,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,"8.8, 9.3, 9.53, 8.8, 9.53, 8.8, 3.9","4.46, 4.685, 9.199",,9.676896409,,,9.198559799
Triprolidine,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,"9.69, 9.25, 9.69","5.906, 8.981",,8.777777972,,,8.981221466
Venlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,"9.5, 9.2, 9.9, 9.9, 9.5, 9.7, 9.5, 10","9.412, 9.559",,8.652604486,,9.559253769,9.411851006
Verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,"9.2, 8.92, 8.29, 8.9, 9.04, 8.92, 8.68, 4.18, 8.92, 8.92, 8.92, 8.76, 1.36, 9.07, 8.92, 8.9, 8.7, 9",8.92,,8.54165249,,,8.920314445
Zidovudine,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,,"5.81, 8.047, 8.793, 10.025",,,"Acidic: AtomValenceException: Explicit valence for atom # 8 N, 5, is greater than permitted | Basic: AtomValenceException: Explicit valence for atom # 8 N, 5, is greater than permitted",8.793387012,10.02485798
Abacavir,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,,"3.932, 3.94, 4.504, 5.71, 9.063, 9.508",,5.011136259,,9.062962132,9.507510834
Apixaban,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,8.56,"2.852, 3.671, 4.594, 6.964, 9.325",,,,9.324940052,3.670883398
Budesonide,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,,"7.69, 7.797",,,,7.689782295,
Doxazosin,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,"6.5, 6.9","4.917, 5.993, 6.235, 8.735",,7.030093638,,8.735058575,6.234577522
Estradiol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,,10.033,,3.096985475,,10.03301682,
Ethanol,CCO,,9.791,,,,9.790678673,
Lorazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,11.5,"6.315, 9.969, 10.846",8.430040315,,,9.969268322,
Mirtazapine,CN1CCN2c3ncccc3Cc3ccccc3C2C1,"7.3, 7.1, 7.3, 3.59, 7.79, 7.3, 7.3, 7.3","3.763, 4.607, 7.377",,7.59669736,,,7.376978378
Pantoprazole,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,"3.92, 8.19, 4, 7.69","4.132, 4.38, 7.281",9.042854793,4.651135685,,,7.281350136
Pentoxifylline,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,,4.402,,,,,4.401689816
Propylthiouracil,CCCc1cc(=O)[nH]c(=S)[nH]1,,"4.885, 8.737, 10.357",7.631256413,,,,10.35693813
Quetiapine,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,"3.64, 6.91, 11.18","7.204, 7.884, 9.863",,7.33771012,,7.883581963,7.20411272
Reboxetine,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,,7.798,,7.502505921,,,7.79767601
Theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,,"4.211, 5.414, 9.268",9.79174002,,,,9.26779789
Thiopentone,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,"0.8, 7.6","7.691, 8.148",7.424429906,,,7.690595646,
Labetalol,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,"7.4, 9.3, 2.1, 7.4, 9.3, 7.4, 9.4, 7.8","7.242, 8.619, 8.887, 9.145, 9.365",9.490039536,8.361152746,,8.887249146,8.619297752
Acitretin,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,,5.253,4.642632631,,,5.253394108,
Flurbiprofen,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,"4.2, 4.6, 4.2, 4.6, 4.03, 4.3, 4.22, 4.5",4.483,4.098926216,,,4.482896767,
Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,"5.2, 7.95, 5.2, 5.2, 2.92, 4.45, 5.4, 4.8, 4.67, 4.83, 5.35, 6.01, 6.3",4.817,4.32520045,,,4.817349072,
Mesalamine,Nc1ccc(O)c(C(=O)O)c1,,"3.34, 4.234, 5.85, 6.842",5.626864976,,,4.233887348,3.340347033
Nelfinavir,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,"6.3, 8.57","5.976, 7.811, 8.439, 8.94, 9.212, 9.249, 9.693",9.568898631,6.96195324,,8.939828186,7.810753307
Oxcarbazepine,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,,"6.26, 8.442",,,,8.442109985,
Piroxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,"6.5, 1.86, 7.43, 4.5, 6.3, 1.88, 5.3, 2.23, 1.89, 5.29, 1.89, 4.74, 0, 0.55, 5.3, 2.5, 1.9, 5.3, 1.86, 5.46, 5.3","2.984, 3.148, 3.378, 5.492, 8.516",5.90161365,3.486915275,,3.147769547,
Quinapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,,"5.147, 7.011",6.257597141,3.027017924,,5.147089891,7.011193199
Sulfasalazine,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,"2.65, 2","4.089, 4.096, 5.132, 5.93",,,,4.096194134,4.08863431
Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,"5.1, 4.85, 5.1, 4.9, 0.41",5.562,4.533883185,,,5.562382507,
Albendazole,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,,"3.812, 5.677, 9.046, 9.965",9.721903557,3.207588247,,3.812460508,9.965320587
