Drug,SMILES,pKa_values,pKa_pkasolver,unipka_acidic_macro_pKa,unipka_basic_macro_pKa,unipka_error,pKa_acid_v2,pKa_base_v2
Aztreonam,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,2.75,"2.471, 2.666, 2.782, 3.001, 3.038, 3.996",,3.39044504,,3.9964995,3.037877369
Benzylpenicillin,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,"2.6, 2.8, 2.72","2.989, 3.309, 3.463, 6.117",,,,6.117372684,
Captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,3.7,"3.836, 6.551, 7.514, 7.663",3.343830641,,,3.835781183,
Cefonicid,O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12,,"2.523, 2.547, 2.731, 2.758, 2.996, 4.052, 5.382",,,,4.051737061,
Cefotaxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,3.75,"2.584, 2.874, 2.882, 2.96, 3.26, 3.918, 5.498",3.521451405,3.072007333,,3.260432196,3.918006926
Cefoxitin,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,,"3.002, 3.214, 3.229, 3.418, 4.513, 6.136",,,,3.213924837,
Emtricitabine,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,,"2.863, 4.113, 8.034, 8.424",,,,8.0344594,4.112766199
Enalaprilat,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O.O,,"3.109, 4.967, 7.474",3.986791193,,,3.109260321,7.473747005
Hydrochlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,"10.07, 7, 9.95, 7.9, 8.53, 0, 8.68, 9.39, 9.82, 10.1","4.412, 7.357, 7.705, 8.664, 9.102, 9.171",9.947031402,,,7.356874847,4.412129622
Levofloxacin,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O,"5.1, 6, 8.6, 8.12, 6.1, 6, 8.5","5.973, 6.62, 6.805",6.482451694,5.689029001,,6.62016655,6.805158138
Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,"3.8, 4.7, 3.36, 5.6, 5.5, 3.1, 5.4, 4.7","2.805, 3.359, 3.614, 3.779, 4.321, 4.807, 5.15, 6.248, 6.476, 8.398",4.443264582,,,3.61415246,6.476412506
Methyldopa,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,"12.66, 2.21, 2.218","5.76, 7.858",9.021622043,,,5.760492067,7.857598419
Tenofovir,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O.O,,"3.193, 3.315, 4.575, 4.924, 8.164",4.450149135,,,4.574927044,3.315398216
Topiramate,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,"8.66, 8.7","7.284, 8.903",9.086546388,,,7.284044838,
Vigabatrin,C=CC(N)CCC(=O)O,9.5,"4.93, 9.528",9.161388871,4.476306343,,4.929615726,9.528127556
Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,"9.6, 9.6, 9.6, 9.3, 9.54, 9.6, 9.19, 9.54, 9.58, 9.6, 9.7, 9.6, 9.43, 9.36, 9.36, 9.37, 7.4","8.125, 9.506",,9.664320881,,,9.506144485
Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,"8.74, 9.45","8.831, 8.847, 8.862, 8.863",,8.924896076,,8.86166523,8.846673241
Baclofen,NCC(CC(=O)O)c1ccc(Cl)cc1,"3.7, 9.7","4.558, 9.108",9.462241386,4.0295086,,4.558400936,9.107638607
Chloroquine,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,"10.2, 9.9, 10.27, 9.94, 9.94, 8.41, 8.1, 10.8, 8.4, 8.38, 8.5","5.541, 6.102, 8.973",10.58506834,10.33177371,,,8.972896461
Cimetidine,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,"6.97, 6.97, 6.4, 14, 6.8, 6.8, 7.02, 6.8, 6.97, 6.76, 6.8, 7","4.853, 5.96, 7.969",10.97617825,6.901544225,,,7.969078274
Disopyramide,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,"10.4, 10.1, 10.32","4.565, 8.185, 9.468",10.13927157,9.495698661,,,9.46804142
Famotidine,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1,"7.1, 7.1, 0.02","5.1, 7.82, 8.897",9.277032997,6.684102226,,8.897116413,7.819827347
Flecainide,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,"9.3, 9.3, 9.3, 9.3, 9.28","4.612, 9.107, 9.182",,8.986857574,,9.182248383,9.107427864
Fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,,"3.229, 3.296, 3.493, 3.605, 8.877",,,,8.877418423,3.605141363
Metformin,CN(C)C(=N)NC(=N)N,"11.5, 11, 12.4, 2.8",11.789,8.862782634,,,,
Metoclopramide,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,"9.33, 9.51, 9.3, 9.59, 9.59, 9.51, 9.4, 9.33","3.781, 5.627, 8.871, 8.917, 9.252",,9.476687622,,8.917244415,8.870517731
Nadolol,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,"9.67, 9.7, 9.67, 2.37, 9.69, 9.67, 9.9, 9.3",9.578,,9.449872851,,,9.578009491
Ofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,8.31,"5.196, 6.519, 6.763",8.132888484,5.330074552,,6.519378052,6.762609634
Pilsicainide,Cc1cccc(C)c1NC(=O)CC12CCCN1CCC2,,"6.039, 8.692, 10.562",,8.843619618,,10.56220665,8.69183773
Pseudoephedrine,CN[C@@H](C)[C@@H](O)c1ccccc1,"10.25, 9.86","9.779, 10.667",,9.555706009,,10.66688229,9.778911629
Pyridostigmine,CN(C)C(=O)Oc1ccc[n+](C)c1,,,10.83075992,,,,
Pyrimethamine,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,7.36,"3.644, 3.902, 6.631, 7.888, 9.687, 9.844",,7.027011129,,9.686914558,9.843728561
Sotalol,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,"9.76, 9.76","7.107, 8.809, 9.064, 10.086",9.768856265,8.528644876,,7.106814003,8.808973675
Stavudine,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,,"5.521, 7.734, 9.431",9.433355508,,,7.733577213,9.430817184
Terbutaline,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,"11.1, 8.7, 8.7, 8.8, 8.67, 8.65, 8.7, 8.8, 10",9.456,9.441461144,8.740306382,,,9.456154861
Digoxin,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,,"8.795, 8.816, 8.846",9.348579655,3.515348144,,8.794686146,
Lamivudine,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,,"3.434, 4.225, 8.579, 9.036",,3.349664173,,8.579412308,4.225261669
Levetiracetam,CC[C@@H](C(N)=O)N1CCCC1=O,,"5.999, 6.928, 7.882",,,,7.88240797,
Nizatidine,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,"6.59, 6.59, 6.8","3.995, 5.668, 5.893, 6.196",10.18206896,7.482116221,,,6.195940132
Alphamethyldopa,,,,,,Acidic: TypeError: 'float' object is not iterable | Basic: TypeError: 'float' object is not iterable,,
Ampicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,"2.55, 7.14, 2.65, 7.25","3.144, 3.421, 3.552, 3.708, 5.858",7.049866261,,,3.144306173,3.552313938
Gabapentin,NCC1(CC(=O)O)CCCCC1,"4.1, 3.9, 10.5","4.877, 9.997",10.26559047,3.970644823,,4.877278366,9.997293625
Pregabalin,CC(C)C[C@H](CN)CC(=O)O,,"5.09, 9.744",10.32377318,4.15117084,,5.089657078,9.743877983
Acyclovir,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,,"4.704, 5.751, 9.036, 9.143, 9.4",9.063105325,,,9.0363554,9.399751244
Candesartan,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,"3.9, 5.3, 3.9","3.893, 4.547, 4.928, 5.194",3.892440305,,,5.194149513,4.546955709
Cefprozil,CC=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,,"3.036, 3.269, 3.435, 3.845, 4.016, 5.32",7.495032327,,,3.268559923,4.016300898
Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,"6.2, 6.16, 8.62, 6.25, 6.02, 8.62","5.194, 6.765, 7.446",8.99440918,5.584633609,,6.764837208,7.44636713
Nitrofurantoin,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,,8.669,6.649630361,,,8.668867283,
Penicillin V,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O,2.735,"3.061, 3.404, 3.773, 5.942",,,,3.060997782,
Sulfisoxazole,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,"5, 5, 4.8","4.158, 5.606, 6.208, 6.587, 9.095",3.98862592,,,6.207624493,5.605841522
Amisulpride,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,"9.3, 9.37","3.715, 5.463, 8.979, 9.306, 9.606",,9.085707357,,9.305875282,8.9787146
Paliperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,,"4.293, 5.214, 8.182, 8.655",,8.122336506,,8.65512579,8.181589661
Roxithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,"9.2, 9.27","8.615, 8.77",10.92098376,8.261097727,,8.769520721,8.615099754
Levonorgestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,,8.39,,3.560410446,,8.390453663,
Medroxyprogesterone,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,,8.343,10.23904434,3.380374264,,8.343230362,
Fleroxacin,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,"5.5, 8.2, 8.8, 5.5","4.928, 6.366, 6.509",7.92260346,5.355650624,,6.366045818,6.508593025
