Drug,SMILES
AMPHETAMINE,CC(N)Cc1ccccc1
ACETAMINOPHEN,CC(=O)Nc1ccc(O)cc1
ASPIRIN,CC(=O)Oc1ccccc1C(=O)O
ENALAPRIL,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O
ETHINYL ESTRADIOL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
ETHOSUXIMIDE,CCC1(C)CC(=O)NC1=O
IVERMECTIN,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C
METHOHEXITAL,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
NORETHINDRONE,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
PHENOBARBITAL,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
THEOPHYLLINE,Cn1c(=O)c2nc[nH]c2n(C)c1=O.O
THIOPENTAL,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
TINIDAZOLE,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C
VALPROIC ACID,CCCC(CCC)C(=O)O
ZONISAMIDE,NS(=O)(=O)Cc1noc2ccccc12
ALPRAZOLAM,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
AMITRIPTYLINE,CN(C)CCC=C1c2ccccc2CCc2ccccc21
AMLODIPINE,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
AMOXAPINE,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
BUPIVACAINE,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
BUPRENORPHINE,CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5
BUPROPION,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
CAFFEINE,Cn1c(=O)c2c(ncn2C)n(C)c1=O
CHLORAMPHENICOL,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
CHLORPROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
CLEMASTINE,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1
CLINDAMYCIN,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1
CLOMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
CLONAZEPAM,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
CODEINE,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341
COLCHICINE,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
COTININE,CN1C(=O)CC[C@H]1c1cccnc1
DESIPRAMINE,CNCCCN1c2ccccc2CCc2ccccc21
DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
DOTHIEPIN,CN(C)CC/C=C1\c2ccccc2CSc2ccccc21
DOXEPIN,CN(C)CCC=C1c2ccccc2COc2ccccc21
DULOXETINE,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1
ESCITALOPRAM,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
FLUOXETINE,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
FLUVOXAMINE,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
HYDRALAZINE,NNc1nncc2ccccc12
HYDROMORPHONE,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5
HYDROXYCHLOROQUINE,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12
IMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccccc21
ISONIAZID,NNC(=O)c1ccncc1
LEVODOPA,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
MAPROTILINE,CNCCCC12CCC(c3ccccc31)c1ccccc12
METHADONE,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
METHYLPHENIDATE,COC(=O)C(c1ccccc1)C1CCCCN1
METOPROLOL,COCCc1ccc(OCC(O)CNC(C)C)cc1
METRONIDAZOLE,Cc1ncc([N+](=O)[O-])n1CCO
MIANSERIN,CN1CCN2c3ccccc3Cc3ccccc3C2C1
MINOXIDIL,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]
MORPHINE,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
NALTREXONE,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5
NICOTINE,CN1CCC[C@H]1c1cccnc1
NORTRIPTYLINE,CNCCC=C1c2ccccc2CCc2ccccc21
PAROXETINE,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
PEFLOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21
PREDNISOLONE,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
PROPRANOLOL,CC(C)NCC(O)COc1cccc2ccccc12
QUININE,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
RISPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
SUMATRIPTAN,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
TEMAZEPAM,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
TIMOLOL,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
TRIPROLIDINE,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
VENLAFAXINE,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
VERAPAMIL,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
ZIDOVUDINE,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O
ZOLPIDEM,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
ABACAVIR,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1
APIXABAN,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1
BUDESONIDE,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
DOXAZOSIN,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
ESTRADIOL,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
ALCOHOL,CCO
