Drug,pKa_pkasolver,N_pka_pkasolver
PACLITAXEL,"4.522, 7.772, 7.933, 8.39, 8.506",5
PRAZIQUANTEL,5.664,1
PREDNISONE,"6.416, 7.523",2
PRIMIDONE,"5.693, 8.744, 9.262",3
RITONAVIR,"4.444, 5.106, 5.247, 5.423, 5.478, 7.564, 8.188, 8.522, 8.647",9
RIVAROXABAN,"2.892, 3.792, 5.178, 8.717",4
ROFECOXIB,,0
SPIRONOLACTONE,,0
TACROLIMUS,"6.322, 7.365, 7.571, 8.369",4
ZALEPLON,"2.647, 2.711, 3.784",3
AZTREONAM,"2.471, 2.666, 2.782, 3.001, 3.038, 3.996",6
PENICILLIN G,"2.989, 3.309, 3.463, 6.117",4
CAPTOPRIL,"3.836, 6.551, 7.514, 7.663",4
CEFONICID,"2.523, 2.547, 2.731, 2.758, 2.996, 4.052, 5.382",7
CEFOTAXIME,"2.584, 2.874, 2.882, 2.96, 3.26, 3.918, 5.498",7
CEFOXITIN,"3.002, 3.214, 3.229, 3.418, 4.513, 6.136",6
EMTRICITABINE,"2.863, 4.113, 8.034, 8.424",4
ENALAPRILAT,"3.109, 4.967, 7.474",3
HYDROCHLOROTHIAZIDE,"4.412, 7.357, 7.705, 8.664, 9.102, 9.171",6
LEVOFLOXACIN,"5.973, 6.62, 6.805",3
METHOTREXATE,"2.805, 3.359, 3.614, 3.779, 4.321, 4.807, 5.15, 6.248, 6.476, 8.398",10
METHYLDOPA,"5.76, 7.858",2
TENOFOVIR,"3.193, 3.315, 4.575, 4.924, 8.164",5
TOPIRAMATE,"7.284, 8.903",2
VIGABATRIN,"4.93, 9.528",2
ATENOLOL,"8.125, 9.506",2
AZITHROMYCIN,"8.831, 8.847, 8.862, 8.863",4
BACLOFEN,"4.558, 9.108",2
CHLOROQUINE,"5.541, 6.102, 8.973",3
CIMETIDINE,"4.853, 5.96, 7.969",3
DISOPYRAMIDE,"4.565, 8.185, 9.468",3
FAMOTIDINE,"5.1, 7.82, 8.897",3
FLECAINIDE,"4.612, 9.107, 9.182",3
FLUCONAZOLE,"3.229, 3.296, 3.493, 3.605, 8.877",5
METFORMIN,11.789,1
METOCLOPRAMIDE,"3.781, 5.627, 8.871, 8.917, 9.252",5
NADOLOL,9.578,1
OFLOXACIN,"5.196, 6.519, 6.763",3
PILSICAINIDE,"6.039, 8.692, 10.562",3
PSEUDOEPHEDRINE,"9.779, 10.667",2
PYRIDOSTIGMINE,,0
PYRIMETHAMINE,"3.644, 3.902, 6.631, 7.888, 9.687, 9.844",6
SOTALOL,"7.107, 8.809, 9.064, 10.086",4
STAVUDINE,"5.521, 7.734, 9.431",3
TERBUTALINE,9.456,1
DIGOXIN,"8.795, 8.816, 8.846",3
LAMIVUDINE,"3.434, 4.225, 8.579, 9.036",4
LEVETIRACETAM,"5.999, 6.928, 7.882",3
NIZATIDINE,"3.995, 5.668, 5.893, 6.196",4
AMPICILLIN,"3.144, 3.421, 3.552, 3.708, 5.858",5
CEPHALEXIN,"2.619, 2.929, 3.018, 3.569, 4.972",5
GABAPENTIN,"4.877, 9.997",2
PREGABALIN,"5.09, 9.744",2
ACYCLOVIR,"4.704, 5.751, 9.036, 9.143, 9.4",5
APAZONE,"3.81, 7.242",2
CANDESARTAN,"3.893, 4.547, 4.928, 5.194",4
CEFPROZIL,"3.036, 3.269, 3.435, 3.845, 4.016, 5.32",6
CIPROFLOXACIN,"5.194, 6.765, 7.446",3
NITROFURANTOIN,8.669,1
PENICILLIN V,"3.061, 3.404, 3.773, 5.942",4
SULFISOXAZOLE,"4.158, 5.606, 6.208, 6.587, 9.095",5
AMISULPRIDE,"3.715, 5.463, 8.979, 9.306, 9.606",5
PALIPERIDONE,"4.293, 5.214, 8.182, 8.655",4
ROXITHROMYCIN,"8.615, 8.77",2
ACETAZOLAMIDE,"5.103, 5.311, 6.902, 8.037, 8.888",5
LEVONORGESTREL,8.39,1
MEDROXYPROGESTERONE ACETATE,,0
FLEROXACIN,"4.928, 6.366, 6.509",3
FEXOFENADINE,"5.497, 7.368, 7.899, 8.704",4
