INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,OPERA_PKAA_OPERA_PRED,OPERA_PKAB_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED,LOGD5.5,LOGD7.4,READY_BIO_DEG
ROFECOXIB,Approved Name,DTXSID2023567,Rofecoxib,CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1,2.187761623949552E-11,3.2359365692962827,3.3884415613920256,403,6.309573444801943E-9,0.5370317963702527,10.35,1445.439770745928,3.17,141,N/A,N/A,4.6773514128719815E-8,0.00010232929922807536,3.17,3.17,0
SPIRONOLACTONE,Approved Name,DTXSID6034186,Spironolactone,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](CC2=CC(=O)CC[C@]12C)SC(C)=O,1.1748975549395304E-10,74.13102413009177,257.03957827688646,424,1.122018454301963E-8,9.772372209558107,11.68,50118.72336272725,2.78,207,N/A,N/A,7.943282347242822E-9,0.00005623413251903491,2.78,2.78,0
TACROLIMUS,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID001350197,Tacrolimus hydrate,O.[H][C@]1(CC[C@@H](O)[C@@]([H])(C1)OC)\C=C(/C)[C@@]1([H])OC(=O)[C@]2([H])CCCCN2C(=O)C(=O)[C@]2(O)O[C@@]([H])([C@]([H])(C[C@H]2C)OC)[C@]([H])(C[C@@H](C)C\C(C)=C/[C@@]([H])(CC=C)C(=O)C[C@H](O)[C@H]1C)OC,1.8620871366628656E-10,10.232929922807541,28.183829312644534,463,1.9054607179632444E-9,1.202264434617413,9.61,33113.112148259075,2.43,181,N/A,6.19,1.445439770745928E-10,0.000060255958607435806,1.66,2.4,0
TACROLIMUS,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID5046354,Tacrolimus,[H][C@]12O[C@](O)([C@H](C)C[C@@H]1OC)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@H]([C@H](C)[C@@H](O)CC(=O)[C@H](CC=C)\C=C(C)\C[C@H](C)C[C@@H]2OC)C(\C)=C\[C@@H]1CC[C@@H](O)[C@@H](C1)OC,1.8620871366628656E-10,10.232929922807541,28.183829312644534,463,1.9054607179632444E-9,1.202264434617413,9.61,33113.112148259075,2.43,181,N/A,6.19,1.445439770745928E-10,0.000060255958607435806,1.66,2.4,0
ZALEPLON,Approved Name,DTXSID5023748,Zaleplon,CCN(C(C)=O)C1=CC=CC(=C1)C1=CC=NC2=C(C=NN12)C#N,1.0715193052376049E-11,12.302687708123818,3.3884415613920256,327,1.5488166189124828E-8,2.3988329190194904,11.71,1513.5612484362086,1.23,162,N/A,1.25,5.888436553555884E-9,0.00008912509381337459,1.23,1.23,0
AZTREONAM,Approved Name,DTXSID0022640,Aztreonam,C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C2=CSC(N)=N2)C(=O)N1S(O)(=O)=O,1.5848931924611107E-11,2.6915348039269156,4.466835921509632,282,1.1748975549395303E-11,0.44668359215096315,9.44,45.708818961487495,0.51,182,6.04,N/A,2.2387211385683378E-8,0.002818382931264455,0.4,-0.87,0
PENICILLIN G,Approved Name,DTXSID5046934,Penicillin G,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C(O)=O,1.698243652461746E-11,2.884031503126606,13.489628825916533,307,1.4791083881682073E-11,0.16595869074375605,9.46,707.945784384138,1.83,161,5.78,N/A,7.244359600749891E-11,0.03311311214825911,1.65,0.2,0
CAPTOPRIL,Approved Name,DTXSID1037197,Captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,7.413102413009163E-12,2.884031503126606,4.466835921509632,292,3.46736850452531E-10,0.31622776601683794,8.61,56.23413251903491,0.34,106,2.62,N/A,0.000002818382931264455,0.10471285480508996,-2.54,-4.44,1
CEFONICID,Approved Name,DTXSID7022758,Cefonicid,O[C@@H](C(=O)N[C@H]1[C@H]2SCC(CSC3=NN=NN3CS(O)(=O)=O)=C(N2C1=O)C(O)=O)C1=CC=CC=C1,8.317637711026709E-11,3.1622776601683795,89.12509381337455,305,1.445439770745928E-11,0.3890451449942806,9.49,53.70317963702527,0.17,192,5.84,N/A,1.348962882591656E-9,0.0026302679918953813,0.01,-1.4,0
CEFOTAXIME,Approved Name,DTXSID6022761,Cefotaxime,[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,6.456542290346562E-11,3.548133892335755,14.454397707459272,320,1.659586907437563E-11,0.32359365692962827,9.44,47.86300923226383,0.29,176,4.78,6.34,1.6218100973589331E-9,0.001202264434617413,-0.04,-1.56,0
CEFOXITIN,Approved Name,DTXSID1022764,Cefoxitin,CO[C@]1(NC(=O)CC2=CC=CS2)[C@H]2SCC(COC(N)=O)=C(N2C1=O)C(O)=O,4.78630092322638E-11,3.8018939632056115,14.791083881682072,273,1.4791083881682073E-11,0.32359365692962827,9.43,46.77351412871981,-0.02,210,5.16,N/A,1.6595869074375631E-9,0.008912509381337459,-0.52,-2.26,0
EMTRICITABINE,Approved Name,DTXSID0040129,Emtricitabine,NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1,1.148153621496884E-11,1.288249551693134,2.9512092266663856,330,6.309573444801942E-11,0.09772372209558107,8.4,53.70317963702527,-0.43,184,5.09,N/A,3.8904514499428046E-10,0.21877616239495523,-0.98,-2.74,1
ENALAPRILAT,Expert Validated Synonym,DTXSID0048975,Enalapril acid,C[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O,2.344228815319918E-11,3.1622776601683795,3.311311214825911,286,1.2589254117941662E-11,0.18620871366628675,9.29,114.81536214968828,-0.73,150,4.07,N/A,5.370317963702533E-11,0.011220184543019636,-2.18,-4.06,0
HYDROCHLOROTHIAZIDE,Approved Name,DTXSID2020713,Hydrochlorothiazide,NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl,4.466835921509635E-12,2.137962089502232,7.244359600749901,255,2.754228703338163E-10,0.16982436524617442,8.53,52.48074602497726,-0.07,274,8.32,N/A,1.0471285480508985E-10,0.0023442288153199225,-0.07,-0.12,0
LEVOFLOXACIN,Approved Name,DTXSID0041060,Levofloxacin,C[C@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O,2.3988329190194948E-11,4.36515832240166,3.3884415613920256,339,1.148153621496884E-9,0.36307805477010135,10.42,478.6300923226385,-0.39,169,1.2,N/A,1.445439770745928E-7,0.07762471166286916,-4.69,-6.59,0
METHOTREXATE SODIUM,Expert Validated Synonym,DTXSID10872452,Sodium L-(+)-methotrexate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
METHYLDOPA,Synonym,DTXSID5023295,(-)-Methyldopa,C[C@](N)(CC1=CC=C(O)C(O)=C1)C(O)=O,1.5135612484362072E-11,5.370317963702527,4.073802778041127,281,1.4125375446227555E-9,0.3981071705534972,8.41,95.49925860214358,-1.42,231,4.25,7.68,4.78630092322638E-10,0.047863009232263824,-3.6,-1.88,1
TENOFOVIR,Approved Name,DTXSID9040132,Tenofovir,C[C@H](CN1C=NC2=C1N=CN=C2N)OCP(O)(O)=O,5.370317963702533E-11,3.311311214825911,5.1286138399136485,265,1.1220184543019652E-10,0.16218100973589297,8.54,50.11872336272722,-1.29,193,1.29,7.96,4.466835921509635E-9,0.16218100973589297,-2.22,-4.07,1
TOPIRAMATE,Approved Name,DTXSID8023688,Topiramate,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,1.7782794100389227E-11,1.4125375446227544,6.165950018614822,277,9.332543007969925E-9,2.5703957827688635,9.35,25.703957827688633,0.26,89,N/A,4.97,0.000010471285480508985,3.1622776601683795,0.15,0.26,0
VIGABATRIN,Searched by Synonym: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATENOLOL,Approved Name,DTXSID2022628,Atenolol,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,1.9952623149688828E-11,1.4125375446227544,3.548133892335755,297,3.090295432513592E-10,0.19952623149688797,9.23,301.9951720402016,0.16,147,N/A,8.16,1.0964781961431829E-9,0.05248074602497726,-2.5,-0.67,1
AZITHROMYCIN,Approved Name,DTXSID8030760,Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,2.5703957827688646E-11,6.165950018614822,15.13561248436208,385,1.2882495516931322E-11,0.5248074602497725,9.53,43651.58322401656,4.02,114,N/A,6.55,4.3651583224016655E-10,0.0002754228703338166,2.93,3.96,0
BACLOFEN,Approved Name,DTXSID5022641,Baclofen,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,1.5135612484362072E-11,3.890451449942806,4.570881896148751,301,1.8620871366628656E-9,0.19054607179632474,8.12,61.65950018614822,-0.95,207,4.12,N/A,0.0000019054607179632483,0.0199526231496888,-2.35,-4.23,1
CHLOROQUINE,Approved Name,DTXSID2040446,Chloroquine,CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1,8.511380382023759E-11,44.6683592150963,3.3884415613920256,347,1.1748975549395303E-9,0.8709635899560807,10.64,2290.8676527677726,4.63,136,N/A,11.34,3.981071705534969E-8,0.0012302687708123812,-1.21,0.69,0
CIMETIDINE,Approved Name,DTXSID4020329,Cimetidine,CNC(NC#N)=NCCSCC1=C(C)NC=N1,1.621810097358933E-11,2.290867652767773,3.548133892335755,327,6.760829753919819E-10,0.3311311214825911,9.21,154.88166189124811,0.4,142,N/A,9.2,1.0232929922807536E-9,0.03548133892335755,-3.3,-1.41,0
DISOPYRAMIDE,Approved Name,DTXSID1045536,Disopyramide,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=N1)C(C)C,1.7378008287493762E-11,138.03842646028852,3.3884415613920256,338,1.6218100973589331E-9,1.3489628825916535,10.45,1621.8100973589299,2.58,95,N/A,8.93,1.1748975549395303E-9,0.019498445997580455,-0.85,1.04,0
FAMOTIDINE,Approved Name,DTXSID5023039,Famotidine,NC(=N)NC1=NC(CSCCC(=N)NS(N)(=O)=O)=CS1,1.7782794100389227E-11,1.6982436524617444,3.9810717055349722,311,1.0471285480508985E-10,0.13489628825916536,9.39,190.54607179632464,-0.64,164,N/A,5.71,1.8620871366628656E-9,0.0026915348039269166,-1.06,-0.65,0
FLECAINIDE,Approved Name,DTXSID8023054,Flecainide,FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1,1.7378008287493762E-11,3.4673685045253166,4.265795188015927,333,8.511380382023759E-9,0.33884415613920255,9.16,1949.8445997580454,3.78,146,7.87,8.52,2.6302679918953816E-9,0.0003630780547701014,1.08,2.92,0
FLUCONAZOLE,Approved Name,DTXSID3020627,Fluconazole,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,1.445439770745928E-11,6.918309709189364,4.570881896148751,293,7.58577575029185E-9,0.6025595860743578,10.05,51.28613839913648,0.5,176,N/A,2.12,8.709635899560796E-10,0.015848931924611134,0.5,0.5,0
METFORMIN,Approved Name,DTXSID2023270,Metformin,CN(C)C(=N)NC(N)=N,5.248074602497734E-11,1.9498445997580451,4.786300923226384,257,3.5481338923357603E-9,0.08709635899560805,5.93,9.549925860214358,0.38,161,N/A,13.28,6.606934480075964E-10,0.0588843655355589,-7.4,-5.5,0
METOCLOPRAMIDE,Approved Name,DTXSID6045169,Metoclopramide,CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC,1.7378008287493762E-11,33.11311214825911,3.3884415613920256,348,1.9952623149688828E-10,0.5623413251903491,9.26,316.22776601683796,2.62,147,N/A,11.21,1.5135612484362072E-8,0.0005754399373371566,-3.09,-1.19,1
NADOLOL,Approved Name,DTXSID3023342,Nadolol,CC(C)(C)NCC(O)COC1=CC=CC2=C1CC(O)C(O)C2,2.29086765276777E-11,2.0892961308540396,6.760829753919817,335,1.0471285480508984E-8,0.31622776601683794,9.4,165.95869074375614,0.81,130,9.8,9.8,3.715352290971728E-10,0.043651583224016584,-3.49,-1.59,0
OFLOXACIN,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID0041060,Levofloxacin,C[C@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O,2.3988329190194948E-11,4.36515832240166,3.3884415613920256,339,1.148153621496884E-9,0.36307805477010135,10.42,478.6300923226385,-0.39,169,1.2,N/A,1.445439770745928E-7,0.07762471166286916,-4.69,-6.59,0
OFLOXACIN,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID3041085,Ofloxacin,CC1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O,2.3988329190194948E-11,4.36515832240166,3.3884415613920256,339,1.148153621496884E-9,0.36307805477010135,10.42,478.6300923226385,-0.39,169,1.2,N/A,1.445439770745928E-7,0.07762471166286916,-4.69,-6.59,0
PILSICAINIDE,Approved Name,DTXSID1046639,Pilsicainide,CC1=CC=CC(C)=C1NC(=O)CC12CCCN1CCC2,1.9952623149688828E-11,19.952623149688797,3.3884415613920256,349,3.2359365692962813E-10,2.3988329190194904,10.98,524.8074602497728,2.45,136,N/A,7.04,7.943282347242822E-7,0.002818382931264455,0.9,2.29,0
PSEUDOEPHEDRINE,Approved Name,DTXSID0023537,Pseudoephedrine,CN[C@@H](C)[C@@H](O)C1=CC=CC=C1,1.5488166189124796E-11,5.623413251903491,3.311311214825911,255,1.1481536214968817E-7,0.11220184543019636,7.85,128.82495516931337,1.49,90,N/A,9.58,0.02754228703338166,0.36307805477010135,-2.59,-0.69,0
PYRIDOSTIGMINE,Approved Name,DTXSID20165786,Pyridostigmine,CN(C)C(=O)OC1=C[N+](C)=CC=C1,1.3182567385564048E-11,5.1286138399136485,3.8018939632056115,266,0.000018197008586099827,0.10232929922807542,6.14,36.30780547701014,1.94,63,N/A,4.82,0.01548816618912481,0.1318256738556407,1.86,1.94,1
PYRIMETHAMINE,Approved Name,DTXSID9021217,Pyrimethamine,CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1,1.4125375446227554E-11,109.64781961431851,6.165950018614822,332,1.9952623149688828E-9,0.5011872336272722,9.25,288.40315031266056,2.69,233,N/A,6.73,1.3182567385564074E-8,0.00039810717055349735,1.44,2.61,0
