INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,OPERA_PKAA_OPERA_PRED,OPERA_PKAB_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED,LOGD5.5,LOGD7.4,READY_BIO_DEG
APAZONE,Synonym,DTXSID6045408,Azapropazone,CCCC1C(=O)N2N(C1=O)C1=CC(C)=CC=C1N=C2N(C)C,1.7782794100389227E-11,8.912509381337454,7.244359600749901,329,1.445439770745928E-9,1.4454397707459274,9.31,281.8382931264455,0.5,247,N/A,3.3,6.165950018614822E-8,0.00016982436524617443,0.5,0.5,0
CANDESARTAN,Approved Name,DTXSID0022725,Candesartan,CCOC1=NC2=CC=CC(C(O)=O)=C2N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1,1.7782794100389227E-11,3.2359365692962827,7.5857757502918375,328,7.079457843841374E-11,0.5623413251903491,9.66,724.4359600749899,4.14,200,1.71,N/A,3.715352290971728E-9,0.00018620871366628676,0.35,-1.55,0
CEFPROZIL,Approved Name,DTXSID6022767,Cefprozil,[H][C@]12SCC(C=CC)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O,1.2022644346174132E-10,5.370317963702527,89.12509381337455,333,1.8620871366628657E-11,0.19952623149688797,9.45,61.65950018614822,0.81,162,8.25,7.2,6.606934480075964E-9,0.009772372209558112,-0.9,0.6,0
CIPROFLOXACIN,Approved Name,DTXSID8022824,Ciprofloxacin,OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,2.29086765276777E-11,2.884031503126606,3.3884415613920256,348,9.332543007969923E-12,0.16218100973589297,9.43,301.9951720402016,0.28,224,-0.74,7.91,6.760829753919819E-10,0.006606934480075957,-2.13,-0.35,0
NITROFURANTOIN,Approved Name,DTXSID7020972,Nitrofurantoin,[O-][N+](=O)C1=CC=C(O1)C=NN1CC(=O)NC1=O,9.120108393559116E-12,2.3988329190194904,3.548133892335755,265,1.4454397707459279E-8,0.08912509381337455,9.76,56.23413251903491,-0.47,263,2.2,N/A,0.00002818382931264455,0.0004073802778041126,-3.77,-5.67,0
PENICILLIN V,Approved Name,DTXSID3023429,Penicillin V,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)COC1=CC=CC=C1)C(O)=O,1.698243652461746E-11,2.6915348039269156,6.606934480075959,298,1.3803842646028866E-11,0.14791083881682077,9.49,446.683592150963,2.09,174,5.68,N/A,2.089296130854041E-10,0.023988329190194897,1.87,0.36,0
SULFISOXAZOLE,Approved Name,DTXSID6021292,Sulfisoxazole,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C,1.3803842646028866E-11,1.7378008287493754,3.3884415613920256,276,1.698243652461746E-10,0.10715193052376065,9.08,199.52623149688787,1.01,191,4.26,N/A,7.943282347242822E-9,0.0012302687708123812,-0.25,-2.13,0
AMISULPRIDE,Approved Name,DTXSID5042613,Amisulpride,CCN1CCCC1CNC(=O)C1=CC(=C(N)C=C1OC)S(=O)(=O)CC,2.0417379446695317E-11,1.4791083881682074,3.3884415613920256,350,1.3182567385564048E-11,0.18620871366628675,9.48,1288.2495516931335,1.1,127,N/A,9.8,2.8840315031266117E-11,0.0007762471166286919,-3.2,-1.3,0
PALIPERIDONE,Approved Name,DTXSID7049059,Paliperidone,CC1=C(CCN2CCC(CC2)C2=NOC3=CC(F)=CC=C23)C(=O)N2CCCC(O)C2=N1,8.128305161640995E-11,4.073802778041127,7.413102413009175,360,1.9952623149688786E-8,2.290867652767773,10.27,4365.158322401661,1.75,150,N/A,7.36,1.9952623149688828E-9,0.002818382931264455,-0.12,1.47,0
ROXITHROMYCIN,Approved Name,DTXSID8041117,Roxithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)\C(=N/OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACETAZOLAMIDE,Approved Name,DTXSID7022544,Acetazolamide,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,1.9054607179632443E-12,1.62181009735893,3.548133892335755,264,5.011872336272715E-9,0.14454397707459277,8.14,17.78279410038923,-0.26,260,6.63,N/A,1.1748975549395302E-8,0.003890451449942805,-0.29,-1.1,0
LEVONORGESTREL,Approved Name,DTXSID3036496,Levonorgestrel,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],7.762471166286927E-11,54.954087385762456,97.72372209558107,333,4.073802778041122E-9,3.3884415613920256,11.15,524807.4602497723,3.07,223,10.17,N/A,1.9498445997580416E-9,0.0000054954087385762485,3.07,3.07,0
MEDROXYPROGESTERONE ACETATE,Approved Name,DTXSID0025527,Medroxyprogesterone acetate,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,6.606934480075964E-11,46.77351412871981,95.49925860214358,392,3.4673685045253164E-8,14.12537544622754,11.72,97723.72209558112,3.33,206,N/A,N/A,1.1748975549395303E-7,0.000009772372209558111,3.33,3.33,0
FLEROXACIN,Approved Name,DTXSID1046714,Fleroxacin,CN1CCN(CC1)C1=C(F)C=C2C(=O)C(=CN(CCF)C2=C1F)C(O)=O,1.8197008586099825E-11,4.36515832240166,4.466835921509632,322,1.7378008287493762E-9,0.6456542290346555,10.56,478.6300923226385,0.24,184,-2.18,6.75,4.5708818961487517E-10,0.018620871366628676,-1.03,0.15,0
FEXOFENADINE,Approved Name,DTXSID00861411,Fexofenadine,CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,2.5118864315095823E-11,12.589254117941675,93.3254300796991,423,2.4547089156850285E-8,0.35481338923357547,9.45,158489.3192461114,4.51,143,4.17,8.78,2.6302679918953816E-9,0.0000054954087385762485,1.23,3.11,0
