Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,Fu_median,N_fu,Fu_values,Fu_flag,SMILES,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final
CLINDAMYCIN,CHEMBL1753,424.99,102.26,4,7,0.39,0.08,2,"0.06, 0.1",NA,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,NA,NA,NA,ChEMBL_Fu,0.08
CLOMIPRAMINE,CHEMBL415,314.86,6.48,0,2,4.53,0.0345,4,"0.04, 0.029, 0.004, 0.186",NA,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,NA,NA,NA,ChEMBL_Fu,0.0345
CLONAZEPAM,CHEMBL452,315.72,84.60,1,4,3.04,0.15,1,0.15,NA,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,NA,NA,NA,ChEMBL_Fu,0.15
CODEINE,CHEMBL485,299.37,41.93,1,4,1.50,0.815,2,"0.93, 0.7",NA,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,NA,NA,NA,ChEMBL_Fu,0.815
COLCHICINE,CHEMBL107,399.44,83.09,1,6,2.87,0.61,3,"0.61, 0.61, 0.61",NA,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,NA,NA,NA,ChEMBL_Fu,0.61
COTININE,CHEMBL578211,176.22,33.20,0,2,1.37,NA,0,NA,NA,CN1C(=O)CC[C@H]1c1cccnc1,NA,NA,0,NA,NA
DESIPRAMINE,CHEMBL72,266.39,15.27,1,2,3.53,0.155,4,"0.18, 0.15, 0.16, 0.011",NA,CNCCCN1c2ccccc2CCc2ccccc21,NA,NA,NA,ChEMBL_Fu,0.155
DIAZEPAM,CHEMBL12,284.75,32.67,0,2,3.15,0.02,9,"0.013, 0.02, 0.023, 0.023, 0.019, 0.016, 0.019, 0.02, 0.023",NA,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,NA,NA,NA,ChEMBL_Fu,0.02
DOTHIEPIN,CHEMBL1492500,295.45,3.24,0,2,4.68,NA,0,NA,NA,CN(C)CC/C=C1\c2ccccc2CSc2ccccc21,NA,NA,0,NA,NA
DOXEPIN,CHEMBL1628227,279.38,12.47,0,2,3.96,0.2,1,0.2,NA,CN(C)CCC=C1c2ccccc2COc2ccccc21,NA,NA,NA,ChEMBL_Fu,0.2
DULOXETINE,CHEMBL1175,297.42,21.26,1,3,4.63,NA,0,NA,NA,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,NA,NA,0,NA,NA
ESCITALOPRAM,CHEMBL1508,324.40,36.26,0,3,3.81,NA,0,NA,NA,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,NA,NA,0,NA,NA
FLUOXETINE,CHEMBL41,309.33,21.26,1,2,4.44,0.06,5,"0.04, 0.063, 0.056, 0.079, 0.06",NA,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,NA,NA,NA,ChEMBL_Fu,0.06
FLUVOXAMINE,CHEMBL814,318.34,56.84,1,4,3.20,0.022,1,0.022,NA,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,NA,NA,NA,ChEMBL_Fu,0.022
HYDRALAZINE,CHEMBL276832,160.18,63.83,2,4,0.92,0.12,1,0.12,NA,NNc1nncc2ccccc12,NA,NA,NA,ChEMBL_Fu,0.12
HYDROMORPHONE,CHEMBL398707,285.34,49.77,1,4,1.63,0.86,1,0.86,NA,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,NA,NA,NA,ChEMBL_Fu,0.86
HYDROXYCHLOROQUINE,CHEMBL1535,335.88,48.39,2,4,3.78,0.57,1,0.57,NA,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,NA,NA,NA,ChEMBL_Fu,0.57
IMIPRAMINE,CHEMBL11,280.42,6.48,0,2,3.88,0.13849999999999998,8,"0.1, 0.1, 0.075, 0.105, 0.172, 0.181, 0.22, 0.472",NA,CN(C)CCCN1c2ccccc2CCc2ccccc21,NA,NA,NA,ChEMBL_Fu,0.13849999999999998
ISONIAZID,CHEMBL64,137.14,68.01,2,3,-0.31,1,1,1,FLAG: contains 0 or 1,NNC(=O)c1ccncc1,NA,NA,NA,ChEMBL_Fu,1
LEVODOPA,CHEMBL1009,197.19,103.78,4,4,0.05,0.76,1,0.76,NA,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,NA,NA,NA,ChEMBL_Fu,0.76
MAPROTILINE,CHEMBL21731,277.41,12.03,1,1,4.21,0.11499999999999999,2,"0.12, 0.11",NA,CNCCCC12CCC(c3ccccc31)c1ccccc12,NA,NA,NA,ChEMBL_Fu,0.11499999999999999
METHADONE,CHEMBL651,309.45,20.31,0,2,4.29,0.16,2,"0.11, 0.21",NA,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,NA,NA,NA,ChEMBL_Fu,0.16
METHYLPHENIDATE,CHEMBL796,233.31,38.33,1,3,2.09,0.85,1,0.85,NA,COC(=O)C(c1ccccc1)C1CCCCN1,NA,NA,NA,ChEMBL_Fu,0.85
METOPROLOL,CHEMBL13,267.37,50.72,2,4,1.61,0.89,4,"0.89, 0.89, 0.88, 0.974",NA,COCCc1ccc(OCC(O)CNC(C)C)cc1,NA,NA,NA,ChEMBL_Fu,0.89
METRONIDAZOLE,CHEMBL137,171.16,81.19,1,5,0.09,0.89,3,"0.89, 0.89, 0.96",NA,Cc1ncc([N+](=O)[O-])n1CCO,NA,NA,NA,ChEMBL_Fu,0.89
MIANSERIN,CHEMBL6437,264.37,6.48,0,2,3.08,0.839,1,0.839,NA,CN1CCN2c3ccccc3Cc3ccccc3C2C1,NA,NA,NA,ChEMBL_Fu,0.839
MINOXIDIL,CHEMBL802,209.25,95.11,2,5,-0.13,NA,0,NA,NA,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],NA,NA,0,NA,NA
MORPHINE,CHEMBL70,285.34,52.93,2,4,1.20,0.65,3,"0.65, 0.61, 0.65",NA,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,NA,NA,NA,ChEMBL_Fu,0.65
