Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,Fu_median,N_fu,Fu_values,Fu_flag,SMILES,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final,pKa_exp,N_pka,pKa_values,LogD74_exp,N_logd,LogD_values
ALPRAZOLAM,CHEMBL661,308.77,43.07,0,4,3.58,0.29,3,"0.29, 0.29, 0.29",NA,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,NA,NA,NA,ChEMBL_Fu,0.29,2.4,3,"6.2, 2.4, 2.4",2.12,1,2.12
AMITRIPTYLINE,CHEMBL629,277.41,3.24,0,1,4.17,0.065,2,"0.06, 0.07",NA,CN(C)CCC=C1c2ccccc2CCc2ccccc21,NA,NA,NA,ChEMBL_Fu,0.065,9.4,11,"9.4, 9.42, 9.4, 9.4, 9.4, 9.49, 9.4, 8.2, 9.4, 9.5, 9.4",2.84,6,"2.62, 2.499, 2.83, 9.4, 2.85, 3"
AMLODIPINE,CHEMBL1491,408.88,99.88,2,7,2.27,0.005,1,0.005,NA,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,NA,NA,NA,ChEMBL_Fu,0.005,9.145,6,"9.5, 9.03, 8.6, 8.6, 9.26, 9.45",1.66,1,1.66
AMOXAPINE,CHEMBL1113,313.79,36.86,1,4,3.43,NA,0,NA,NA,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,89.05,0.10950000000000004,1,ChEMBL_PPB,0.10950000000000004,8.705,6,"7.6, 3.38, 8.71, 8.7, 8.71, 11.16",2.94,2,"3.48, 2.4"
BUPIVACAINE,CHEMBL1098,288.44,32.34,1,2,3.90,0.14400000000000002,2,"0.056, 0.232",NA,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,NA,NA,NA,ChEMBL_Fu,0.14400000000000002,8.129999999999999,2,"8.16, 8.1",NA,0,NA
BUPRENORPHINE,CHEMBL511142,467.65,62.16,2,5,4.41,0.04,1,0.04,NA,CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,NA,NA,NA,ChEMBL_Fu,0.04,8.965,2,"9.62, 8.31",3.93,1,3.93
BUPROPION,CHEMBL894,239.75,29.10,1,2,3.30,0.195,1,0.195,NA,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,NA,NA,NA,ChEMBL_Fu,0.195,8.35,3,"8.2, 8.35, 8.6",NA,0,NA
CAFFEINE,CHEMBL113,194.19,61.82,0,6,-1.03,0.64,4,"0.64, 0.64, 0.64, 0.989",NA,Cn1c(=O)c2c(ncn2C)n(C)c1=O,NA,NA,NA,ChEMBL_Fu,0.64,0.6,3,"0.6, 0, 3.6",-0.1,6,"-0.07, -0.14, -0.13, 0.02, -0.3, 0"
CHLORAMPHENICOL,CHEMBL130,323.13,112.70,3,5,0.91,0.47,3,"0.47, 0.47, 0.34",NA,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,NA,NA,NA,ChEMBL_Fu,0.47,0.645,2,"1.29, 0",1.045,4,"1, 1.14, 1.04, 1.05"
CHLORPROMAZINE,CHEMBL71,318.87,6.48,0,3,4.89,0.03,6,"0.03, 0.03, 0.056, 0.003, 0.0013, 0.302",NA,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,NA,NA,NA,ChEMBL_Fu,0.03,9.25,19,"9.24, 9.25, 9.3, 9.2, 9.22, 9.41, 9.3, 9.22, 9.54, 9.3, 9.24, 9.25, 9.2, 9.22, 9.36, 9.19, 9.3, 9.22, 9.3",3.23,7,"3.167, 3.221, 9.36, 3.38, 3.7, 3.23, 3.18"
CLEMASTINE,CHEMBL1626,343.90,12.47,0,2,5.10,NA,0,NA,NA,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,NA,NA,0,NA,NA,9.2,1,9.2,NA,0,NA
CLINDAMYCIN,CHEMBL1753,424.99,102.26,4,7,0.39,0.08,2,"0.06, 0.1",NA,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,NA,NA,NA,ChEMBL_Fu,0.08,NA,0,NA,NA,0,NA
CLOMIPRAMINE,CHEMBL415,314.86,6.48,0,2,4.53,0.0345,4,"0.04, 0.029, 0.004, 0.186",NA,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,NA,NA,NA,ChEMBL_Fu,0.0345,9.38,8,"9.38, 9.38, 9.2, 9.38, 9.38, 9.1, 9.38, 9.4",3.2800000000000002,2,"3.32, 3.24"
CLONAZEPAM,CHEMBL452,315.72,84.60,1,4,3.04,0.15,1,0.15,NA,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,NA,NA,NA,ChEMBL_Fu,0.15,NA,0,NA,NA,0,NA
CODEINE,CHEMBL485,299.37,41.93,1,4,1.50,0.815,2,"0.93, 0.7",NA,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,NA,NA,NA,ChEMBL_Fu,0.815,8.2,7,"8.2, 8.22, 7.9, 8.2, 8.2, 9.48, 8.4",0.225,2,"0.22, 0.23"
COLCHICINE,CHEMBL107,399.44,83.09,1,6,2.87,0.61,3,"0.61, 0.61, 0.61",NA,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,NA,NA,NA,ChEMBL_Fu,0.61,NA,0,NA,1.03,1,1.03
COTININE,CHEMBL578211,176.22,33.20,0,2,1.37,NA,0,NA,NA,CN1C(=O)CC[C@H]1c1cccnc1,NA,NA,0,NA,NA,4.5,1,4.5,NA,0,NA
DESIPRAMINE,CHEMBL72,266.39,15.27,1,2,3.53,0.155,4,"0.18, 0.15, 0.16, 0.011",NA,CNCCCN1c2ccccc2CCc2ccccc21,NA,NA,NA,ChEMBL_Fu,0.155,10.2,14,"10.23, 10.23, 10.44, 10.2, 5.32, 10.2, 9.8, 3.35, 10.16, 10.23, 10.2, 10.2, 10, 10.2",1.28,7,"1.05, 1.28, 1.45, 10.2, 0.89, 1.09, 1.39"
