Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,Fu_median,N_fu,Fu_values,Fu_flag,SMILES,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final,pKa_exp,N_pka,pKa_values,LogD74_exp,N_logd,LogD_values
ALCOHOL,CHEMBL545,46.07,20.23,1,1,0.00,NA,0,NA,NA,CCO,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
LIDOCAINE,CHEMBL79,234.34,32.34,1,2,2.58,0.303,5,"0.3, 0.3, 0.33, 0.303, 0.959",NA,CCN(CC)CC(=O)Nc1c(C)cccc1C,NA,NA,NA,ChEMBL_Fu,0.303,7.9190000000000005,20,"7.94, 7.94, 7.9, 7.63, 7.95, 7.94, 7.94, 8.5, 7.9, 7.94, 7.95, 7.928, 7.94, 7.86, 7.9, 7.91, 7.91, 7.78, 7.52, 5.2",1.6484999999999999,4,"1.65, 1.71, 1.647, 1.63"
LORAZEPAM,CHEMBL580,321.16,61.69,2,3,3.10,0.09,4,"0.09, 0.09, 0.09, 0.057",NA,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,NA,NA,NA,ChEMBL_Fu,0.09,11.5,1,11.5,2.51,1,2.51
MIRTAZAPINE,CHEMBL654,265.36,19.37,0,3,2.48,0.16,7,"0.15, 0.15, 0.16, 0.266, 0.286, 0.32, 0.15",NA,CN1CCN2c3ncccc3Cc3ccccc3C2C1,NA,NA,NA,ChEMBL_Fu,0.16,7.3,8,"7.3, 7.1, 7.3, 3.59, 7.79, 7.3, 7.3, 7.3",2.3,1,2.3
PANTOPRAZOLE,CHEMBL1502,383.38,92.32,1,6,2.88,0.02,1,0.02,NA,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,NA,NA,NA,ChEMBL_Fu,0.02,5.845000000000001,4,"3.92, 8.19, 4, 7.69",NA,0,NA
PENTOXIFYLLINE,CHEMBL628,278.31,78.89,0,7,0.19,1,2,"1, 1",FLAG: contains 0 or 1,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,NA,NA,NA,ChEMBL_Fu,1,NA,0,NA,0.29,1,0.29
PROPYLTHIOURACIL,CHEMBL1518,170.24,48.65,2,2,1.38,0.18,1,0.18,NA,CCCc1cc(=O)[nH]c(=S)[nH]1,NA,NA,NA,ChEMBL_Fu,0.18,NA,0,NA,0.85,1,0.85
QUETIAPINE,CHEMBL716,383.52,48.30,1,6,2.86,NA,0,NA,NA,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,NA,NA,0,NA,NA,6.91,3,"3.64, 6.91, 11.18",3.4,1,3.4
REBOXETINE,CHEMBL14370,313.40,39.72,1,4,3.19,0.0325,2,"0.019, 0.046",NA,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,NA,NA,NA,ChEMBL_Fu,0.0325,NA,0,NA,NA,0,NA
THEOBROMINE,CHEMBL1114,180.17,72.68,1,5,-1.04,NA,0,NA,NA,Cn1cnc2c1c(=O)[nH]c(=O)n2C,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
THIOPENTAL SODIUM,CHEMBL738,264.33,58.20,2,3,1.35,NA,0,NA,NA,CCCC(C)C1(CC)C(=O)[N-]C(=S)NC1=O.[Na+],NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
LABETALOL,CHEMBL429,328.41,95.58,4,4,2.14,0.5,3,"0.5, 0.5, 0.961",NA,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,NA,NA,NA,ChEMBL_Fu,0.5,7.6,8,"7.4, 9.3, 2.1, 7.4, 9.3, 7.4, 9.4, 7.8",NA,0,NA
ACITRETIN,CHEMBL1131,326.44,46.53,1,2,5.17,NA,0,NA,NA,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
FLURBIPROFEN,CHEMBL563,244.26,37.30,1,1,3.68,0.982,1,0.982,NA,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,NA,NA,NA,ChEMBL_Fu,0.982,4.26,8,"4.2, 4.6, 4.2, 4.6, 4.03, 4.3, 4.22, 4.5",0.875,2,"0.85, 0.9"
IBUPROFEN,CHEMBL521,206.28,37.30,1,1,3.07,0.006,5,"0.006, 0.962, 0.006, 0.0023, 0.000122",NA,CC(C)Cc1ccc(C(C)C(=O)O)cc1,NA,NA,NA,ChEMBL_Fu,0.006,5.2,13,"5.2, 7.95, 5.2, 5.2, 2.92, 4.45, 5.4, 4.8, 4.67, 4.83, 5.35, 6.01, 6.3",1.1,1,1.1
MESALAMINE,CHEMBL704,153.14,83.55,3,3,0.67,0.39,1,0.39,NA,Nc1ccc(O)c(C(=O)O)c1,NA,NA,NA,ChEMBL_Fu,0.39,NA,0,NA,NA,0,NA
NELFINAVIR,CHEMBL584,567.80,101.90,4,6,4.75,NA,0,NA,NA,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,NA,NA,0,NA,NA,7.4350000000000005,2,"6.3, 8.57",NA,0,NA
OXCARBAZEPINE,CHEMBL1068,252.27,63.40,1,2,2.64,NA,0,NA,NA,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
PIROXICAM,CHEMBL527,331.35,99.60,2,5,1.58,NA,0,NA,NA,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,99.15,0.008499999999999952,4,ChEMBL_PPB,0.008499999999999952,4.5,21,"6.5, 1.86, 7.43, 4.5, 6.3, 1.88, 5.3, 2.23, 1.89, 5.29, 1.89, 4.74, 0, 0.55, 5.3, 2.5, 1.9, 5.3, 1.86, 5.46, 5.3",-0.08,3,"-0.08, -0.3, 0"
PROBENECID,CHEMBL897,285.37,74.68,1,3,2.20,0.13,1,0.13,NA,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,NA,NA,NA,ChEMBL_Fu,0.13,3.205,2,"3.4, 3.01",NA,0,NA
QUINAPRIL,CHEMBL1592,438.52,95.94,2,5,2.57,NA,0,NA,NA,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,95.82,0.04180000000000006,1,ChEMBL_PPB,0.04180000000000006,NA,0,NA,NA,0,NA
SULFASALAZINE,CHEMBL421,398.40,141.31,3,7,3.70,NA,0,NA,NA,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,NA,NA,0,NA,NA,2.325,2,"2.65, 2",-0.13,1,-0.13
WARFARIN,CHEMBL1464,308.33,67.51,1,4,3.61,0.011,10,"0.015, 0.295, 0.006, 0.013, 0.014, 0.009, 0.008, 0.0062, 0.0041, 0.05",NA,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,NA,NA,NA,ChEMBL_Fu,0.011,4.9,5,"5.1, 4.85, 5.1, 4.9, 0.41",0.8200000000000001,4,"0.12, 0.9, 0.86, 0.78"
ALBENDAZOLE,CHEMBL1483,265.34,67.01,2,4,3.24,NA,0,NA,NA,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,95.43,0.04569999999999996,1,ChEMBL_PPB,0.04569999999999996,NA,0,NA,3.57,1,3.57
ARIPIPRAZOLE,CHEMBL1112,448.39,44.81,1,4,4.86,0.006,2,"0.01, 0.002",NA,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,NA,NA,NA,ChEMBL_Fu,0.006,NA,0,NA,NA,0,NA
CITALOPRAM,CHEMBL549,324.40,36.26,0,3,3.81,0.2,3,"0.2, 0.2, 0.047",NA,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,NA,NA,NA,ChEMBL_Fu,0.2,9.440000000000001,6,"9.38, 9.2, 9.72, 9.5, 9.7, 9.38",1.92,2,"1.94, 1.9"
DAPSONE,CHEMBL1043,248.31,86.18,2,4,1.68,0.25,2,"0.25, 0.25",NA,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,NA,NA,NA,ChEMBL_Fu,0.25,NA,0,NA,NA,0,NA
EFAVIRENZ,CHEMBL223228,315.68,38.33,1,2,4.07,0.0049499999999999995,2,"0.0052, 0.0047",NA,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,NA,NA,NA,ChEMBL_Fu,0.0049499999999999995,7.18,1,7.18,NA,0,NA
LOPINAVIR,CHEMBL729,628.81,120.00,4,5,4.33,NA,0,NA,NA,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
LORATADINE,CHEMBL998,382.89,42.43,0,3,4.89,NA,0,NA,NA,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,NA,NA,0,NA,NA,4.58,1,4.58,4.4,2,"4.4, 4.4"
NAPROXEN,CHEMBL154,230.26,46.53,1,2,3.04,0.01,3,"0.989, 0.01, 1.21e-05",NA,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,NA,NA,NA,ChEMBL_Fu,0.01,4.1899999999999995,12,"4.01, 4.2, 4.18, 4.18, 8.41, 4.2, 4, 4.4, 3.29, 4.18, 4.2, 4.2",1.75,2,"3.3, 0.2"
NEFAZODONE,CHEMBL623,470.02,55.53,0,7,3.55,0.009,3,"0.009, 0.009, 0.01",NA,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,NA,NA,NA,ChEMBL_Fu,0.009,6.645,4,"6.79, 6.5, 6.5, 13.8",NA,0,NA
PHENACETIN,CHEMBL16073,179.22,38.33,1,2,2.04,0.8785000000000001,4,"0.47, 0.78, 0.98, 0.977",NA,CCOc1ccc(NC(C)=O)cc1,NA,NA,NA,ChEMBL_Fu,0.8785000000000001,2.2,1,2.2,NA,0,NA
PROPAFENONE,CHEMBL631,341.45,58.56,2,4,3.24,0.05,4,"0.05, 0.05, 0.038, 0.783",NA,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,NA,NA,NA,ChEMBL_Fu,0.05,9.27,10,"9.27, 9.27, 9.2, 9.31, 9.27, 9.27, 8.8, 9, 9.48, 9.3",1.77,3,"1.81, 1.6, 1.77"
QUAZEPAM,CHEMBL1200472,386.80,15.60,0,2,5.03,NA,0,NA,NA,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
TERFENADINE,CHEMBL17157,471.69,43.70,2,3,6.45,NA,0,NA,NA,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,99.16,0.008400000000000074,1,ChEMBL_PPB,0.008400000000000074,8.6,4,"8.6, 9.86, 8.5, 8.6",NA,0,NA
TOLMETIN,CHEMBL1020,257.29,59.30,1,3,2.19,NA,0,NA,NA,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,99.7,0.0030000000000000027,3,ChEMBL_PPB,0.0030000000000000027,3.5,4,"3.5, 3.5, 3.5, 3.5",-1,1,-1
TRAZODONE,CHEMBL621,371.87,45.78,0,6,2.36,0.07350000000000001,4,"0.07, 0.07, 0.077, 0.98",NA,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,NA,NA,NA,ChEMBL_Fu,0.07350000000000001,6.73,7,"6.79, 6.79, 6.7, 6.73, 6.73, 6.79, 6.7",2.97,3,"2.54, 2.97, 2.99"
ALLOPURINOL,CHEMBL1467,136.11,74.69,2,4,0.06,0.95,3,"0.95, 0.95, 0.97",NA,Oc1ncnc2[nH]ncc12,NA,NA,NA,ChEMBL_Fu,0.95,9.35,2,"9.7, 9",-0.44,1,-0.44
AMIODARONE,CHEMBL633,645.32,42.68,0,4,6.94,2e-4,4,"2e-04, 2e-04, 2e-04, 1e-04",NA,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,NA,NA,NA,ChEMBL_Fu,2e-4,8.73,8,"8.73, 8.73, 6.6, 9.37, 8.7, 8.73, 9.06, 4.84",7.7,2,"6.1, 9.3"
CANNABIDIOL,CHEMBL190461,314.47,40.46,2,2,5.85,NA,0,NA,NA,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,90,0.09999999999999998,1,ChEMBL_PPB,0.09999999999999998,NA,0,NA,NA,0,NA
CARBAMAZEPINE,CHEMBL108,236.27,46.33,1,1,3.39,0.2895,6,"0.171, 0.299, 0.288, 0.291, 0.303, 0.276",NA,NC(=O)N1c2ccccc2C=Cc2ccccc21,NA,NA,NA,ChEMBL_Fu,0.2895,NA,0,NA,1.77,5,"2.45, 2.19, 1.77, 1.77, 0.13"
CELECOXIB,CHEMBL118,381.38,77.98,1,4,3.51,0.0030499999999999998,2,"0.003, 0.0031",NA,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,NA,NA,NA,ChEMBL_Fu,0.0030499999999999998,NA,0,NA,NA,0,NA
CLOZAPINE,CHEMBL42,326.83,30.87,1,4,3.72,0.055,7,"0.05, 0.05, 0.055, 0.042, 0.058, 0.081, 0.101",NA,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,NA,NA,NA,ChEMBL_Fu,0.055,7.63,14,"7.63, 7.63, 8, 3.79, 7.7, 3.79, 7.96, 7.63, 7.9, 7.8, 7.63, 7.63, 7.5, 4.02",3.295,4,"2.993, 3.13, 3.46, 3.48"
CYCLOSPORINE,CHEMBL160,1202.63,NA,NA,NA,NA,0.036500000000000005,2,"0.068, 0.005",NA,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,NA,NA,NA,ChEMBL_Fu,0.036500000000000005,NA,0,NA,4.06,3,"4.4, 3.7, 4.06"
DOMPERIDONE,CHEMBL219916,425.92,78.82,2,5,3.35,0.082,3,"0.08, 0.082, 0.598",NA,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,NA,NA,NA,ChEMBL_Fu,0.082,7.9,5,"7.9, 7.7, 8.06, 7.9, 7.9",NA,0,NA
DRONABINOL,CHEMBL465,314.47,29.46,1,2,5.74,0.03,3,"0.03, 0.03, 0.05",NA,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,NA,NA,NA,ChEMBL_Fu,0.03,NA,0,NA,NA,0,NA
DROSPIRENONE,CHEMBL1509,366.50,43.37,0,3,4.31,NA,0,NA,NA,C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@H]1[C@@H]3[C@@H]4C[C@@H]4[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@@H]12,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
HALOPERIDOL,CHEMBL54,375.87,40.54,1,3,4.43,0.10200000000000001,8,"0.08, 0.08, 0.08, 0.124, 0.164, 0.161, 0.223, 0.08",NA,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,NA,NA,NA,ChEMBL_Fu,0.10200000000000001,8.65,14,"8.65, 8.65, 8.3, 8.25, 9.02, 8.3, 9.02, 8.65, 9.07, 8.65, 8.65, 8.5, 8.65, 8.3",2.49,6,"2.98, 0.18, 2.49, 2.42, 2.49, 3.99"
IMATINIB,CHEMBL941,493.62,86.28,2,7,4.59,0.05,1,0.05,NA,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,NA,NA,NA,ChEMBL_Fu,0.05,8.07,1,8.07,0.9,1,0.9
LAMOTRIGINE,CHEMBL741,256.10,90.71,2,5,2.01,0.45,1,0.45,NA,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,NA,NA,NA,ChEMBL_Fu,0.45,5.195,4,"5.7, 5.19, 5.19, 5.2",0.27,2,"0.54, 0"
NEVIRAPINE,CHEMBL57,266.30,58.12,1,4,2.65,0.32,1,0.32,NA,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,NA,NA,NA,ChEMBL_Fu,0.32,NA,0,NA,1.81,1,1.81
NIFEDIPINE,CHEMBL193,346.34,107.77,1,7,2.18,0.041999999999999996,4,"0.04, 0.04, 0.044, 0.949",NA,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],NA,NA,NA,ChEMBL_Fu,0.041999999999999996,1,1,1,3.17,1,3.17
NIMODIPINE,CHEMBL1428,418.45,117.00,1,8,2.97,0.012,2,"0.016, 0.008",NA,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,NA,NA,NA,ChEMBL_Fu,0.012,NA,0,NA,NA,0,NA
NITRENDIPINE,CHEMBL475534,360.37,107.77,1,7,2.57,0.02,1,0.02,NA,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,NA,NA,NA,ChEMBL_Fu,0.02,NA,0,NA,0.97,1,0.97
OLANZAPINE,CHEMBL715,312.44,30.87,1,5,3.44,NA,0,NA,NA,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,89.27,0.10730000000000006,1,ChEMBL_PPB,0.10730000000000006,7.9,4,"8, 4.66, 8.5, 7.8",1.9,1,1.9
OXAZEPAM,CHEMBL568,286.72,61.69,2,3,2.45,0.0495,4,"0.04, 0.04, 0.105, 0.059",NA,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,NA,NA,NA,ChEMBL_Fu,0.0495,0.165,2,"0.06, 0.27",NA,0,NA
PACLITAXEL,CHEMBL428647,853.92,221.29,4,14,3.74,0.07,3,"0.03, 0.07, 0.12",NA,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,NA,NA,NA,ChEMBL_Fu,0.07,NA,0,NA,3.6,1,3.6
PRAZIQUANTEL,CHEMBL976,312.41,40.62,0,2,2.53,NA,0,NA,NA,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,39.595,0.60405,2,ChEMBL_PPB,0.60405,NA,0,NA,3,2,"3, 3"
PREDNISONE,CHEMBL635,358.43,91.67,2,5,1.77,0.25,3,"0.25, 0.25, 0.27",NA,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,NA,NA,NA,ChEMBL_Fu,0.25,NA,0,NA,1.46,1,1.46
PRIMIDONE,CHEMBL856,218.26,58.20,2,2,0.54,NA,0,NA,NA,CCC1(c2ccccc2)C(=O)NCNC1=O,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
RITONAVIR,CHEMBL163,720.96,145.78,4,9,5.91,0.021,1,0.021,NA,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,NA,NA,NA,ChEMBL_Fu,0.021,NA,0,NA,NA,0,NA
RIVAROXABAN,CHEMBL198362,435.89,88.18,1,6,2.52,NA,0,NA,NA,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
ROFECOXIB,CHEMBL122,314.36,60.44,0,4,2.56,NA,0,NA,NA,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,93.1,0.06900000000000006,1,ChEMBL_PPB,0.06900000000000006,NA,0,NA,NA,0,NA
SPIRONOLACTONE,CHEMBL1393,416.58,60.44,0,5,4.85,NA,0,NA,NA,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,49,0.51,1,ChEMBL_PPB,0.51,NA,0,NA,NA,0,NA
TACROLIMUS,CHEMBL3989887,822.05,178.36,3,12,4.64,NA,0,NA,NA,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC.O,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
ZALEPLON,CHEMBL1521,305.34,74.29,0,5,2.64,0.4,3,"0.4, 0.49, 0.4",NA,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,NA,NA,NA,ChEMBL_Fu,0.4,NA,0,NA,NA,0,NA
AZTREONAM,CHEMBL158,435.44,201.58,4,10,-1.17,0.62,5,"0.72, 0.71, 0.4, 0.62, 0.62",NA,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,NA,NA,NA,ChEMBL_Fu,0.62,2.75,1,2.75,NA,0,NA
PENICILLIN G,CHEMBL29,334.40,86.71,2,4,0.86,0.4,1,0.4,NA,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,NA,NA,NA,ChEMBL_Fu,0.4,2.72,3,"2.6, 2.8, 2.72",NA,0,NA
CAPTOPRIL,CHEMBL1560,217.29,57.61,2,3,0.63,0.73,1,0.73,NA,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,NA,NA,NA,ChEMBL_Fu,0.73,3.7,1,3.7,NA,0,NA
CEFONICID,CHEMBL1601,542.58,204.91,4,12,-0.92,NA,0,NA,NA,O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
CEFOTAXIME,CHEMBL1730,455.47,173.51,3,11,-0.62,0.6,1,0.6,NA,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,NA,NA,NA,ChEMBL_Fu,0.6,3.75,1,3.75,NA,0,NA
CEFOXITIN,CHEMBL996,427.46,148.26,3,8,0.10,0.73,1,0.73,NA,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,NA,NA,NA,ChEMBL_Fu,0.73,NA,0,NA,NA,0,NA
EMTRICITABINE,CHEMBL885,247.25,90.37,2,7,-0.46,NA,0,NA,NA,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
ENALAPRILAT,CHEMBL3989406,384.43,106.94,3,4,1.13,NA,0,NA,NA,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O.O,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
HYDROCHLOROTHIAZIDE,CHEMBL435,297.75,118.36,3,5,-0.35,NA,0,NA,NA,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,64.995,0.35005,2,ChEMBL_PPB,0.35005,9.035,10,"10.07, 7, 9.95, 7.9, 8.53, 0, 8.68, 9.39, 9.82, 10.1",-0.2,1,-0.2
LEVOFLOXACIN,CHEMBL5315124,740.76,75.01,1,6,1.54,0.53,2,"0.31, 0.75",NA,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O,NA,NA,NA,ChEMBL_Fu,0.53,6.1,7,"5.1, 6, 8.6, 8.12, 6.1, 6, 8.5",-0.43,1,-0.43
METHOTREXATE,CHEMBL34259,454.45,210.54,5,10,0.27,0.37,1,0.37,NA,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,NA,NA,NA,ChEMBL_Fu,0.37,4.7,8,"3.8, 4.7, 3.36, 5.6, 5.5, 3.1, 5.4, 4.7",-2.52,2,"-2.52, -2.52"
METHYLDOPA,CHEMBL459,211.22,103.78,4,4,0.44,0.85,1,0.85,NA,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,NA,NA,NA,ChEMBL_Fu,0.85,2.218,3,"12.66, 2.21, 2.218",NA,0,NA
TENOFOVIR,CHEMBL3989702,305.23,136.38,3,7,-0.05,NA,0,NA,NA,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O.O,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
TOPIRAMATE,CHEMBL220492,339.37,115.54,1,8,-0.40,NA,0,NA,NA,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,NA,NA,0,NA,NA,8.68,2,"8.66, 8.7",NA,0,NA
VIGABATRIN,CHEMBL89598,129.16,63.32,2,2,0.36,NA,0,NA,NA,C=CC(N)CCC(=O)O,NA,NA,0,NA,NA,9.5,1,9.5,NA,0,NA
ATENOLOL,CHEMBL24,266.34,84.58,3,4,0.45,0.925,2,"0.91, 0.94",NA,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,NA,NA,NA,ChEMBL_Fu,0.925,9.54,17,"9.6, 9.6, 9.6, 9.3, 9.54, 9.6, 9.19, 9.54, 9.58, 9.6, 9.7, 9.6, 9.43, 9.36, 9.36, 9.37, 7.4",-1.15,5,"-2, -2.14, -0.19, -0.16, -1.15"
AZITHROMYCIN,CHEMBL529,749.00,180.08,5,14,1.90,0.88,2,"0.88, 0.88",NA,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,NA,NA,NA,ChEMBL_Fu,0.88,9.094999999999999,2,"8.74, 9.45",2.11,1,2.11
BACLOFEN,CHEMBL701,213.66,63.32,2,2,1.86,NA,0,NA,NA,NCC(CC(=O)O)c1ccc(Cl)cc1,NA,NA,0,NA,NA,6.699999999999999,2,"3.7, 9.7",NA,0,NA
