Supplementary Table 8. In Vitro-to-In Vivo Extrapolation Input and Output,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,CASRN,MW,Raw.Experimental.Percentage.Unbound,Entered.Experimental.Percentage.Unbound,Fub,source_PPB,Renal_Clearance,Met_Stab,Met_Stab_entered,r2,p.val,Concentration..uM.,Css_lower_5th_perc.mg.L.,Css_median_perc.mg.L.,Css_upper_95th_perc.mg.L.,Css_lower_5th_perc.uM.,Css_median_perc.uM.,Css_upper_95th_perc.uM.,Assay,AC50,Lower.Oral.Equivalent(mg/kg),Median.Oral.Equivalent(mg/kg),Upper.Oral.Equivalent(mg/kg),,
2-Phenylphenol,90-43-7,170.207,4.1052,4.1052,0.041052,E,0.27545892,9.4356,9.4356,0.626298943,9.15E-05,10,0.35125837,0.646295249,1.418083245,2.063712832,3.797113215,8.331521295,NCGC_RXRa_Agonist,24.55,2.946640731,6.465437981,11.89603496,,
2-Phenylphenol,90-43-7,170.207,4.1052,4.1052,0.041052,E,0.27545892,9.4356,9.4356,0.626298943,9.15E-05,10,0.35125837,0.646295249,1.418083245,2.063712832,3.797113215,8.331521295,NVS_ENZ_oCOX1,17,2.040443683,4.477085364,8.237580218,,
2-Phenylphenol,90-43-7,170.207,4.1052,4.1052,0.041052,E,0.27545892,9.4356,9.4356,0.626298943,9.15E-05,10,0.35125837,0.646295249,1.418083245,2.063712832,3.797113215,8.331521295,NVS_TR_hNET,28,3.360730773,7.374022952,13.56777918,,
2-Phenylphenol,90-43-7,170.207,4.1052,4.1052,0.041052,E,0.27545892,9.4356,9.4356,0.626298943,9.15E-05,10,0.35125837,0.646295249,1.418083245,2.063712832,3.797113215,8.331521295,ATG_ERa_TRANS,43,5.161122258,11.32439239,20.83623232,,
2-Phenylphenol,90-43-7,170.207,4.1052,4.1052,0.041052,E,0.27545892,9.4356,9.4356,0.626298943,9.15E-05,10,0.35125837,0.646295249,1.418083245,2.063712832,3.797113215,8.331521295,ATG_ERE_CIS,12,1.440313188,3.160295551,5.814762507,,
2-Phenylphenol,90-43-7,170.207,4.1052,4.1052,0.041052,E,0.27545892,9.4356,9.4356,0.626298943,9.15E-05,10,0.35125837,0.646295249,1.418083245,2.063712832,3.797113215,8.331521295,ATG_NRF2_ARE_CIS,37,4.440965664,9.744244616,17.92885106,,
2-Phenylphenol,90-43-7,170.207,4.1052,4.1052,0.041052,E,0.27545892,9.4356,9.4356,0.626298943,9.15E-05,10,0.35125837,0.646295249,1.418083245,2.063712832,3.797113215,8.331521295,ATG_Oct_MLP_CIS,41,4.92107006,10.79767647,19.86710523,,
2-Phenylphenol,90-43-7,170.207,4.1052,4.1052,0.041052,E,0.27545892,9.4356,9.4356,0.626298943,9.15E-05,10,0.35125837,0.646295249,1.418083245,2.063712832,3.797113215,8.331521295,ATG_PXRE_CIS,11,1.320287089,2.896937588,5.330198964,,
2-Phenylphenol,90-43-7,170.207,4.1052,4.1052,0.041052,E,0.27545892,9.4356,9.4356,0.626298943,9.15E-05,10,0.35125837,0.646295249,1.418083245,2.063712832,3.797113215,8.331521295,ATG_Sp1_CIS,36,4.320939565,9.480886653,17.44428752,,
6-Desisopropylatrazine,1007-28-9,173.603,45.8844,45.8844,0.458844,E,3.07884324,-1.874391679,0,0.202341967,0.061069114,10,0.518040845,0.857284218,1.189334446,2.984054682,4.938187808,6.850886482,BSK_BE3C_uPAR_up,40,5.838660457,8.10013745,13.4045801,,
6-Desisopropylatrazine,1007-28-9,173.603,45.8844,45.8844,0.458844,E,3.07884324,-1.874391679,0,0.202341967,0.061069114,10,0.518040845,0.857284218,1.189334446,2.984054682,4.938187808,6.850886482,BSK_BE3C_uPA_down,40,5.838660457,8.10013745,13.4045801,,
6-Desisopropylatrazine,1007-28-9,173.603,45.8844,45.8844,0.458844,E,3.07884324,-1.874391679,0,0.202341967,0.061069114,10,0.518040845,0.857284218,1.189334446,2.984054682,4.938187808,6.850886482,BSK_hDFCGF_CollagenIII_down,13.333333,1.946220104,2.700045749,4.468193254,,
6-Desisopropylatrazine,1007-28-9,173.603,45.8844,45.8844,0.458844,E,3.07884324,-1.874391679,0,0.202341967,0.061069114,10,0.518040845,0.857284218,1.189334446,2.984054682,4.938187808,6.850886482,BSK_LPS_TNFa_down,40,5.838660457,8.10013745,13.4045801,,
6-Desisopropylatrazine,1007-28-9,173.603,45.8844,45.8844,0.458844,E,3.07884324,-1.874391679,0,0.202341967,0.061069114,10,0.518040845,0.857284218,1.189334446,2.984054682,4.938187808,6.850886482,BSK_SM3C_MCP1_down,40,5.838660457,8.10013745,13.4045801,,
6-Desisopropylatrazine,1007-28-9,173.603,45.8844,45.8844,0.458844,E,3.07884324,-1.874391679,0,0.202341967,0.061069114,10,0.518040845,0.857284218,1.189334446,2.984054682,4.938187808,6.850886482,CLZD_CYP2B6_48,14.527,2.120455512,2.941767418,4.868208377,,
Abamectin,71751-41-2,873.0769,6.69,6.69,0.0669,E,0.448899,3.6216,3.6216,0.669398015,3.34E-05,10,0.507942483,0.914193004,1.842956197,0.581784357,1.047093336,2.110874995,ACEA_IC50,12.7,6.016462382,12.1288137,21.82939408,,
Abamectin,71751-41-2,873.0769,6.69,6.69,0.0669,E,0.448899,5.2404,5.2404,0.507009955,9.17E-04,1,0.370725845,0.667726666,1.417783803,0.424619922,0.764797083,1.623893386,ACEA_LOC2,3.715352291,2.287928705,4.85795824,8.749830374,,
Abamectin,71751-41-2,873.0769,6.69,6.69,0.0669,E,0.448899,3.6216,3.6216,0.669398015,3.34E-05,10,0.507942483,0.914193004,1.842956197,0.581784357,1.047093336,2.110874995,ACEA_LOC3,33.11311215,15.68691288,31.62384003,56.91647043,,
Abamectin,71751-41-2,873.0769,6.69,6.69,0.0669,E,0.448899,3.6216,3.6216,0.669398015,3.34E-05,10,0.507942483,0.914193004,1.842956197,0.581784357,1.047093336,2.110874995,ACEA_LOC4,11.22018454,5.315418756,10.71555338,19.28581339,,
Abamectin,71751-41-2,873.0769,6.69,6.69,0.0669,E,0.448899,3.6216,3.6216,0.669398015,3.34E-05,10,0.507942483,0.914193004,1.842956197,0.581784357,1.047093336,2.110874995,ACEA_LOCdec,11.22018454,5.315418756,10.71555338,19.28581339,,
Abamectin,71751-41-2,873.0769,6.69,6.69,0.0669,E,0.448899,5.2404,5.2404,0.507009955,9.17E-04,1,0.370725845,0.667726666,1.417783803,0.424619922,0.764797083,1.623893386,ACEA_LOCinc,3.715352291,2.287928705,4.85795824,8.749830374,,
Abamectin,71751-41-2,873.0769,6.69,6.69,0.0669,E,0.448899,5.2404,5.2404,0.507009955,9.17E-04,1,0.370725845,0.667726666,1.417783803,0.424619922,0.764797083,1.623893386,BSK_3C_hLADR_down,4.444444,2.736906276,5.811272165,10.46687583,,
Abamectin,71751-41-2,873.0769,6.69,6.69,0.0669,E,0.448899,5.2404,5.2404,0.507009955,9.17E-04,1,0.370725845,0.667726666,1.417783803,0.424619922,0.764797083,1.623893386,BSK_3C_IL8_down,4.444444,2.736906276,5.811272165,10.46687583,,
Abamectin,71751-41-2,873.0769,6.69,6.69,0.0669,E,0.448899,5.2404,5.2404,0.507009955,9.17E-04,1,0.370725845,0.667726666,1.417783803,0.424619922,0.764797083,1.623893386,BSK_3C_MCP1_down,1.481481,0.912301887,1.937090286,3.488957826,,
