"Comparison","N","R_squared","Mean_Abs_Diff","RMSE"
"pKa (OPERA vs pkasolver)",166,0.533,1.505,1.927
"LogD7.4 (OPERA-derived vs pkasolver-derived)",181,0.607,0.958,1.536
